oid,site_id,name1,street1,street2,city,state_usa,zipcode,phone,ref_address,mat_info,bu,bui,bum,bwn,buu,mu,mui,mm,nu,vti,vtm,vtrl,iop,op,mh_tx,wih_induction,coe,walk_in_hours,other_notes,archival_only,why_hidden,data_review
1,S00137,ADDICTION MEDICINE AND HEALTH ADVOCATES (AMHA),928 Market St,,Philadelphia,PA,19107,215-923-4202,"928 MARKET ST, 19107",MMT induction,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,,Spanish; Child care on site,False,,
2,S00064,ASOCIACION PUERTORRIQUENOS EN MARCHA (APM),4301 Rising Sun Ave,,Philadelphia,PA,19140,267-296-7200,"4301 RISING SUN AVE, PHILA, 19140",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,,Spanish,False,,
3,S00067,CASA DE CONSEJERIA Y SALUD INTEGRAL,213 West Allegheny Ave,,Philadelphia,PA,19133,215-634-3259,"213 W ALLEGHENY AVE, 19140",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,False,,zipcode corrected from 19140 to 19133 per SAMHSA entry & Google Maps
4,S00045,CHANCES- PHILA HEALTH MGMT CORP (PHMC),1200 Callowhill St,Suite 102,Philadelphia,PA,19123,215-825-8220,"1200 CALLOWHILL ST, SUITE 102, 19123",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,,False,,
5,S00072,COMHAR,2055 East Allegheny Ave,,Philadelphia,PA,19134,215-427-5800,"2055 E. ALLEGHENY AVE, 19134",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,Spanish; Both locations registration: (267) 861-4382,False,,
6,S00073,COMHAR,2600 North American St,,Philadelphia,PA,19133,215-739-2669,"2600 N AMERICAN ST, 19133",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,Spanish; Both locations registration: (267) 861-4382,False,,
7,S00118,THE CONSORTIUM,451 South University Ave,,Philadelphia,PA,19104,215-596-8000,"451 S. UNIVERSITY AVE, 19104",MMT induction | Vivitrol,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,,Spanish; Child care on site,False,,
8,S00074,DREXEL MEDICINE CARING TOGETHER CLINIC,4700 Wissahickon Ave,,Philadelphia,PA,19144,215-967-2130,"4700 WISSAHICKON AVE, 19144",Buprenorphine/Vivitrol maintenance,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,,"Females only, Child care on site",False,,
9,S00089,GAUDENZIA OUTREACH I,1306 Spring Garden St,,Philadelphia,PA,19123,215-238-2150,"1306 SPRING GARDEN ST, 19123",Vivitrol,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,,Spanish,False,,
10,S00085,GAUDENZIA-DRC,3200 Henry Ave,,Philadelphia,PA,19129,215-991-9700,"3200 HENRY AVE, 19129",Vivitrol,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,,,False,,
11,S00143,GREATER PHILA ASIAN SOCIAL SERVICES CENTER,4943 North 5th St,,Philadelphia,PA,19120,215-456-1662,"4943 N. 5TH ST, 19120",Vivitrol,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,,"Spanish, Korean, Vietnamese, Chinese, Cambodian",False,,
12,S00129,"INTERIM HOUSE, INC. - PHMC",333 West Upsal St,,Philadelphia,PA,19119,215-849-4606,"333 W. UPSAL ST, 19139",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,,Spanish,False,,zipcode corrected from 19139 (West) to 19119 (NW) per Google Maps & SAMHSA entry
13,S00146,JEVS HUMAN SERVICES - ACT I,5820 Old York Rd,,Philadelphia,PA,19141,215-276-8400,"5820 OLD YORK ROAD, 19141",MMT induction,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,,,False,,
14,S00145,JEVS HUMAN SERVICES - ACT II,1745 North 4th St,,Philadelphia,PA,19122,215-236-0100,"1745 N. 4TH ST, 19122",MMT induction,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,,Spanish,False,,
15,S00070,JOHN F. KENNEDY BEHAVIORAL HEALTH CENTER (JFK),907 North Broad St,,Philadelphia,PA,19123,215-235-5520,"907 N. BROAD ST, 19123",MMT induction,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,,,False,,
16,S00071,JOHN F. KENNEDY BEHAVIORAL HEALTH CENTER (JFK),112 North Broad St,,Philadelphia,PA,19102,215-556-0860,"112 N BROAD ST, 19102",Vivitrol,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,,,False,,
17,S00130,KENSINGTON HOSPITAL,136 Diamond St,,Philadelphia,PA,19122,215-426-8100,"136 DIAMOND ST, 19122",MMT induction,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,,,False,,
18,S00097,MERAKEY BEHAVIORAL HEALTH,5000 Parkside Ave,,Philadelphia,PA,19131,215-879-6116,"5000 PARKSIDE AVE, 19131",Buprenorphine induction | MMT induction & Vivitrol,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,M-F 7a-5:30p; Sa 8a-1:30p; Su 8-11:30a,,False,,
19,S00096,MERAKEY BEHAVIORAL HEALTH,5429 Germantown Ave,,Philadelphia,PA,19144,215-754-0240,"5429 GERMANTOWN AVE, 19144",Buprenorphine induction | MMT induction & Vivitrol,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,7a-5:30p,,False,,
20,S00099,MERAKEY BEHAVIORAL HEALTH,100 East Lehigh Ave,,Philadelphia,PA,19125,215-634-2520,"100 E LEHIGH AVE, 19125",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,M-F 8a-5p,,False,,
21,S00098,MERAKEY BEHAVIORAL HEALTH,11082 Knights Rd,,Philadelphia,PA,19154,215-632-9040,"11082 KNIGHTS ROAD, 19154",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,M-F 8a-5p,,False,,
22,"[S00107, S00106]",NORTH PHILA HEALTH SYSTEM - GOLDMAN CLINIC,801 West Girard Ave,,Philadelphia,PA,19122,215-787-2000,"801 W. GIRARD AVE, 19122",MMT induction | Vivitrol,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,,Spanish,False,,
23,S00102,NET CENTERS,499 North 5th St,,Philadelphia,PA,19123,215-451-7100,"499 N. 5TH ST, 19123",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,,,False,,
24,S00100,NET CENTERS,2205 Bridge St,,Philadelphia,PA,19137,215-743-6150,"2205 BRIDGE ST, 19137",Buprenorphine induction | MMT induction & Vivitrol,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,"M-W 7a-5p, Th 7-11a; F 7a-12p",,False,,
25,S00101,NET CENTERS,7520 State Rd,,Philadelphia,PA,19136,267-348-3550,"7520 STATE ROAD, 19136",Buprenorphine induction | MMT induction & Vivitrol,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,[unspecified],Child care on site,False,,
26,S00103,NET CENTERS,4625 Frankford Ave,2nd Floor,Philadelphia,PA,19124,267-597-3920,"4625 FRANKFORD AVE, 2ND FL, 19124",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,M-F 9a-4p,Spanish; 1st FL [for MH Tx],False,,
27,S00053,PATHWAYS TO HOUSING*,5201 Old York Rd,Suite 108,Philadelphia,PA,19141,215-390-1500,"5201 OLD YORK ROAD, SUITE 108, 19141",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,,Spanish | Housing Assitance,False,,
28,S00048,PATHWAYS TO RECOVERY (PHMC),2301 East Allegheny Ave,,Philadelphia,PA,19134,215-731-2402,"2301 EAST ALLEGHENY AVE, 19134",Vivitrol & Buprenorphine | MMT clinic coordination,True,False,False,False,True,True,False,True,True,False,False,True,False,False,True,False,False,,Partial Hospital Program | Spanish,False,,
29,S00109,PENN MEDICINE MOTHERS MATTER PROGRAM*,3400 Spruce St,1 West Gates,Philadelphia,PA,19103,267-593-2969,"3400 SPRUCE ST, 1 WEST GATES, 19103",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,Pregnant Women,False,,
30,S00124,PENN OUTPATIENT (TOTAL RECOVERY),8220 Castor Ave,,Philadelphia,PA,19152,215-728-4600,"8220 CASTOR AVE, 19152",Vivitrol & Suboxone | Buprenorphine induction,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,M-F: 8:30a - 4:30p,Spanish | 2nd Floor,False,,
31,S00045,PEOPLE ACTING TO HELP (PATH),1200 Callowhill St,1st Floor,Philadelphia,PA,19123,267-398-0247,"1200 CALLOWHILL ST, 1st Floor, 19123",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,,False,,
32,S00045,PHMC CARE CLINIC MAT PROGRAM*,1200 Callowhill St,1st Floor,Philadelphia,PA,19123,267-398-0247,"1200 CALLOWHILL ST, 1st Floor, 19123",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,,Health Care Center | Spanish; PCP,False,,
33,S00113,PREVENTION POINT*,2913-2915 Kensington Ave,,Philadelphia,PA,19134,215-634-5272,"2913-2915 KENSINGTON AVE, 19134",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,,Harm Reduction Svcs | Spanish,False,,
34,S00054,PROJECT HOME (STEPHEN KLEIN WELLNESS CENTER)*,2144 Cecil B. Moore Ave,,Philadelphia,PA,19121,215-320-6187 x5756,"2144 CECIL B. MOORE AVE, 19121",Buprenorphine induction | Vivitrol induction,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,,,False,,
35,S00125,SOAR CORP,9150 Marshall St,Suite 2,Philadelphia,PA,19114,215-464-4450,"9150 MARSHALL ST, SUITE 2, 19114",MMT induction,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,,,False,,
36,S00093,THOMAS JEFFERSON UNIVERSITY FAMILY CENTER*,1233 Locust St,Suite 201,Philadelphia,PA,19107,215-955-8577,"1233 LOCUST ST, SUITE 201, 19107",MMT induction | Bupe maintenance,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,,"*MATER | Females only, pregnancy, child care on site",False,,
37,S00091,THOMAS JEFFERSON UNIVERSITY (NARP)*,1021 South 21st St,,Philadelphia,PA,19146,215-735-5979,"1021 S 21ST ST, 19146",MMT induction | Bupe maintenance,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,,Spanish,False,,
38,S00133,TEMPLE TWO PROGRAM*,3401 North Broad St,,Philadelphia,PA,19140,215-707-3008,"3401 N BROAD ST, 19140",Buprenorphine induction,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,Partners with the Wedge MC | OB-GYN Svcs,False,,
39,S00159,WEDGE MEDICAL CENTER*,3609 North Broad St,,Philadelphia,PA,19140,215-276-3922,"3609 N. BROAD ST, 19140",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,M-W 2-3:30p,Partners with Temple TWO; Spanish,False,,
40,S00160,WEDGE MEDICAL CENTER*,2009 South Broad St,,Philadelphia,PA,19148,215-276-3922,"2009 S. BROAD ST, 19148",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,M 2-3:30p,Partners with Temple TWO,False,,
41,S00158,WEDGE MEDICAL CENTER*,4243 Frankford Ave,,Philadelphia,PA,19124,215-276-3922,"4243 FRANKFORD AVE, 19124",Buprenorphine induction | Vivitrol,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,T 2-3:30p,Partners with Temple TWO,False,,
42,S00102,NET Access Point,499 North 5th St,Suite B,Philadelphia,PA,19123,844-533-8200,"499 North 5th Street, Suite B, Philadelphia, PA 19123",Buprenorphine & Vivitrol Induction,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,[Assessment directory] | Open 24 hours/day and 7 days/week | phone2: 215-408-4987 | website: www.netcenters.org,False,,
43,S00127,Friends Hospital,4641 Roosevelt Blvd,,Philadelphia,PA,19124,215-831-2600,4641 Roosevelt Blvd.,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,[Assessment directory],False,,
44,S00081,Einstein Medical Center,5501 Old York Rd,,Philadelphia,PA,19141,215-951-8300,5501 Old York Rd.,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,[Assessment directory],False,,
45,S00108,Pennsylvania Hospital (Hall Mercer),245 South 8th St,,Philadelphia,PA,19106,215-829-5433,245 S. 8th St.,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,[Assessment directory],False,,
46,S00155,Temple/Episcopal Hospital,100 East Lehigh Ave,,Philadelphia,PA,19125,215-707-2577,100 E. Lehigh Ave.,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,[Assessment directory],False,,
47,S00150,Philadelphia Children’s Crisis Response Center,3300 Henry Ave,"Falls Two Building, 3rd Floor",Philadelphia,PA,19129,215-878-2600,"3300 Henry Ave. Falls Two Building, 3rd Floor",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,[Assessment directory],False,,
48,S00048,Pathways to Recovery (PHMC) Partial Hospitalization,2301 East Allegheny Ave,,Philadelphia,PA,19134,215-731-2404,"2301 East Allegheny Avenue, Philadelphia, PA 19134",Buprenorphine & Vivitrol Induction,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,[Assessment directory] | English/Spanish,False,,
49,S00089,Gaudenzia,1306 Spring Garden St,,Philadelphia,PA,19123,267-315-6907,"1306 Spring Garden, Philadelphia, PA 19123",Buprenorphine Maintenance,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,[Assessment directory] | Withdrawal Management,False,,
50,S00157,Mercy Hospital,501 South 54th St,,Philadelphia,PA,19143,215-831-2600,501 S. 54th St.,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,[Assessment directory] | listing removed in April/May 2020,True,Data needs review,Facility status changed/changing in 2020 and 2021
