oid,site_id,website1,website2,phone1,phone2,street1,street2,city,state_usa,zipcode,name1,name2,name3,id_hfp_fqhc,id_samhsa_ftloc,id_samhsa_otp,id_dbhids_tad,archival_only,why_hidden,data_review,latitude,longitude,mat_avail,bu,mu,nu,fqhc,prim_care,telehealth
1,S00001,https://www.phila.gov/departments/department-of-public-health/,,215-685-4758,,1101 Market St,8th Floor,Philadelphia,PA,19107,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",,1,NULL,NULL,NULL,True,Not a practice site,,39.95216,-75.1587,,,,,,,
2,S00002,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-1803,,1700 South Broad St,Suite 201,Philadelphia,PA,19145,City of Philadelphia Public Health,District Health Center #2,,2,NULL,NULL,NULL,False,,,39.92904,-75.1694,,,,,,,
3,S00003,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-7504,,555 South 43rd St,,Philadelphia,PA,19104,City of Philadelphia Public Health,District Health Center #3,,3,NULL,NULL,NULL,False,,,39.94888,-75.2091,,,,,,,
4,S00004,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-7601,,4400 Haverford Ave,,Philadelphia,PA,19104,City of Philadelphia Public Health,District Health Center #4,,4,NULL,NULL,NULL,False,,,39.96253,-75.2106,,,,,,,
5,S00005,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-2933,,1900 North 20th St,,Philadelphia,PA,19121,City of Philadelphia Public Health,District Health Center #5,,5,NULL,NULL,NULL,False,,,39.98317,-75.1669,,,,,,,
6,S00006,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-3803,,301 West Girard Ave,,Philadelphia,PA,19123,City of Philadelphia Public Health,District Health Center #6,,6,NULL,NULL,NULL,False,,"PDPH and HFP websites both list 301 for street_address, but 321 is used in most providers' data (Google Maps recognizes both)",39.97021,-75.1419,,,,,,,
7,S00007,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-5701,,131 East Chelten Ave,,Philadelphia,PA,19144,City of Philadelphia Public Health,District Health Center #9,,7,NULL,NULL,NULL,False,,,40.03795,-75.1727,,,,,,,
8,S00008,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-0639,,2230 Cottman Ave,,Philadelphia,PA,19149,City of Philadelphia Public Health,District Health Center #10,,8,NULL,NULL,NULL,False,,,40.04833,-75.0611,,,,,,,
9,S00009,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,215-685-2401,,2840 West Dauphin St,,Philadelphia,PA,19132,City of Philadelphia Public Health,Strawberry Mansion Health Center,,9,NULL,NULL,NULL,False,,,39.99084,-75.1793,,,,,,,
10,S00010,https://dvch.org/,,215-235-9600,,1412 Fairmount Ave,2nd Floor,Philadelphia,PA,19130,"Delaware Valley Community Health, Inc. (DVCH)",Main Admin Office,,10,NULL,NULL,NULL,True,Not a practice site,,39.96682,-75.1614,,,,,,,
11,S00011,https://dvch.org/fairmount-primary/,,215-235-9600,,1412 Fairmount Ave,,Philadelphia,PA,19130,"Delaware Valley Community Health, Inc. (DVCH)",Fairmount Primary Care Center,,11,NULL,NULL,NULL,False,,,39.96682,-75.1614,,,,,,,
12,S00012,https://dvch.org/fairmount-primary-girard/,,215-827-8010,,801 West Girard Ave,,Philadelphia,PA,19122,"Delaware Valley Community Health, Inc. (DVCH)",Fairmount Primary Care Center at Girard Medical Center,,12,NULL,NULL,NULL,False,,,39.97151,-75.1502,,,,,,,
13,S00013,https://dvch.org/fairmount-primary-horizon-house/,,215-222-2466,,120 South 30th St,,Philadelphia,PA,19104,"Delaware Valley Community Health, Inc. (DVCH)",Fairmount Primary Care Center at Horizon House,,13,NULL,NULL,NULL,False,,,39.9528,-75.1839,,,,,,,
14,S00014,https://dvch.org/fairmount-primary-sharon-hill/,,610-278-7381,,800 Chester Pike,,Sharon Hill,PA,19079,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Sharon Hill,,14,NULL,NULL,NULL,False,,,39.91187,-75.2699,,,,,,,
