oid,site_id,archival_only,why_hidden,name_system,name_site,name_short,admin_office,street1,street2,city,state_usa,zipcode,website,phone1,phone2,date_firstfind,date_lastfind,data_review
1,S00140,True,Not a practice site,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",CPPH: Admin,True,1101 Market St,8th Floor,Philadelphia,PA,19107,http://www.phila.gov/health/AmbulatoryHealth/,215-685-4758,,2021-02-23,2021-02-23,Use updated website (2021 redirected URL for PDPH) in sites_all: https://www.phila.gov/departments/department-of-public-health/
2,S00141,False,,City of Philadelphia Public Health,District Health Center #2,CPPH: Health Ctr #2,False,1700 South Broad St,Unit 201,Philadelphia,PA,19145,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-1803,,2020-03-01,2021-02-23,
3,S00142,False,,City of Philadelphia Public Health,District Health Center #3,CPPH: Health Ctr #3,False,555 South 43rd St,,Philadelphia,PA,19104,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7504,,2020-03-01,2021-02-23,
4,S00143,False,,City of Philadelphia Public Health,District Health Center #4,CPPH: Health Ctr #4,False,4400 Haverford Ave,,Philadelphia,PA,19104,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7601,,2020-03-01,2021-02-23,Corrected: ZIP typo from 19121 to 19104
5,S00144,False,,City of Philadelphia Public Health,District Health Center #5,CPPH: Health Ctr #5,False,1900 North 20th St,,Philadelphia,PA,19121,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2933,,2020-03-01,2021-02-23,Corrected: ZIP typo from 19130 to 19121
6,S00145,False,,City of Philadelphia Public Health,District Health Center #6,CPPH: Health Ctr #6,False,321 West Girard Ave,,Philadelphia,PA,19123,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-3800,,2020-03-01,2021-02-23,"Corrected: street_address typo corrected from ""301"" to ""321"" (West Girard Ave)"
7,S00146,False,,City of Philadelphia Public Health,District Health Center #9,CPPH: Health Ctr #9,False,131 East Chelten Ave,,Philadelphia,PA,19144,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-5701,,2020-03-01,2021-02-23,
8,S00147,False,,City of Philadelphia Public Health,District Health Center #10,CPPH: Health Ctr #10,False,2230 Cottman Ave,,Philadelphia,PA,19149,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-0639,,2020-03-01,2021-02-23,
9,S00149,False,,City of Philadelphia Public Health,Strawberry Mansion Health Center,CPPH: Strawberry Mansion,False,2840 West Dauphin St,,Philadelphia,PA,19132,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2400,,2020-03-01,2021-02-23,
10,S00150,False,,"Delaware Valley Community Health, Inc. (DVCH)",Main Admin Office,DVCH: Admin,True,1412 Fairmount Ave,2nd Floor,Philadelphia,PA,19130,http://www.dvch.org/,215-235-9600,,2021-02-23,2021-02-23,"Corrected: street_address from ""1420"" to ""1412"" and ""2nd Floor"" added (per DVCH website)"
11,S00150,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center,DVCH: FPCC,,1412 Fairmount Ave,,Philadelphia,PA,19130,http://dvch.org/,215-235-9600,,2020-03-01,2021-02-23,
12,S00151,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Girard Medical Center,DVCH: FPCC-GMC,False,801 West Girard Ave,,Philadelphia,PA,19122,http://dvch.org/,215-827-8010,,2020-03-01,2021-02-23,
