oid,site_id,program_name,dba,street,city,state_usa,zipcode,phone,certification,full_certification,archival_only,why_hidden,date_firstfind,date_lastfind,data_review,date_update
1,S00046,"Addiction Medicine and Health Advocates, Inc.","AMHA, Inc.",928 Market Street,Philadelphia,PA,19107-4220,215-923-4202,Certified,2006-06-07,False,,2019-12-24,,,
2,S00057,Achievement Through Counseling and Treatment (ACT II),,1745 North Fourth St.,Philadelphia,PA,19122,215-236-0100,Certified,2005-09-12,False,,2019-12-24,,,
3,S00072,Family Center,Family Center,1233 Locust Street,Philadelphia,PA,19007,215-955-8577,Certified,2006-08-31,False,,2019-12-24,,,
4,S00073,Narcotic Addict Rehabilitation Program of Thomas Jefferson University,,"NE Corner, 21st St. & Washington Ave.",Philadelphia,PA,19146,215-790-9942,Certified,2006-10-12,False,,2019-12-24,,,
5,S00089,VAMC Opioid Treatment Program,,"38th and Woodland Ave., Bldg. 3",Philadelphia,PA,19104,215-823-5809,Certified,2006-02-02,False,,2019-12-24,,,
6,S00025,North Philadelphia Health System-Goldman,The Behavioral Wellness Center at Girard-Goldman Methadone Clinic,Girard Medical Center 801 W. Girard Avenue,Philadelphia,PA,19122,215-787-2080,Certified,2006-06-15,False,,2019-12-24,,,
7,S00053,"The Consortium, Inc.",Drug Abuse Rehabilitation Program (D.A.R.P.),451 University Ave.,Philadelphia,PA,19104,215-596-8000,Certified,2004-02-01,False,,2019-12-24,,,
8,S00060,Merakey Parkside Recovery,,5000 Parkside Ave.,Philadelphia,PA,19131,215-879-6116,Certified,2004-01-01,False,,2019-12-24,,,
9,S00016,Kirkbride Center - A Better Way,,111 North 49th St.,Philadelphia,PA,19139,215-471-2600,Certified,2005-10-24,False,,2019-12-24,,,
10,S00011,Mercy Philadelphia Hospital,,501 South 54th St.,Philadelphia,PA,19143,215-748-9391,Certified,2003-07-16,True,Source removed listing,2019-12-24,2021-03-02,No longer listed: 2021-07-09. Facility status in flux 2020/2021: https://whyy.org/articles/penn-med-phmc-lead-coalition-to-save-mercy-philadelphia-hospital/,
11,S00033,"Northeast Treatment Centers, Inc.",NET Steps,2205 Bridge St.,Philadelphia,PA,19137,215-743-6150,Certified,2004-05-06,False,,2019-12-24,,,
12,S00056,Achievement Through Counseling and Treatment (ACT 1),,5820 Old York Rd.,Philadelphia,PA,19141,215-276-8400,Certified,2005-09-12,False,,2019-12-24,,,
13,S00091,Kensington Hospital Outpatient Treatment Program,Kensington Hospital Outpatient Treatment Program,2100 North Front Street,Philadelphia,PA,19122,215-426-8100,Certified,2006-08-01,False,,2019-12-24,,,
14,S00061,Merakey Parkside Recovery,Merakey Parkside Recovery- Germantown,5429 Germantown Ave.,Philadelphia,PA,19144,215-754-0246,Certified,2008-04-14,False,,2019-12-24,,,
15,S00064,"Northeast Treatment Centers, Inc",NET Steps II,7520 State Road,Philadelphia,PA,19136,267-348-3550,Certified,2016-11-18,False,,2019-12-24,,,
16,S00058,John F. Kennedy Drug Treatment Clinic,,907 North Broad St.,Philadelphia,PA,19123,215-235-5520,Certified,2004-02-01,False,,2019-12-24,,,
17,S00104,The Healing Way,THW Group - The Healing Way,7900 Frankford Avenue,Philadelphia,PA,19136,215-335-3520,Certified,2016-02-16,False,,2019-12-24,,,
18,S00071,SOAR,,9150 Marshall Street,Philadelphia,PA,19115,215-464-4450,Certified,2008-11-07,False,,2019-12-24,,,
19,S00063,"Northeast Treatment Centers, Inc",North East Treatment Centers,499 North 5th Street,Philadelphia,PA,19123,215-451-7000,Certified,2017-12-20,False,,2019-12-24,,,
20,S00030,"Self Help Movement, Inc.",,2600 Southampton Road,Philadelphia,PA,19116,215-677-7778,Provisional,,False,,2020-09-09,,,
21,S00117,"Men & Women for Human Excellence, Inc. (MWFHE) Opioid Treatment Program (MWFHE - OTP)",,2603 W Cecil B. Moore Avenue,Philadelphia,PA,19121,267-639-9265,Provisional,,False,,2021-01-16,,,
22,S00014,Kensington Hospital,,136 W. Diamond Street,Philadelphia,PA,19122,215-426-8100,Provisional,,False,,2021-07-09,,New sometime between 2021-03-02 and 2021-07-09,
101,S00233,"Pinnacle Treatment Centers PA-V, LLC",Pinnacle Treatment Services of Aliquippa,400 Woodlawn Dr.,Aliquippa,PA,15001,724-857-9640,Certified,2011-01-05,True,Too far from Philadelphia?,2019-12-24,,,
102,S00234,White Deer Run,,360 White Deer Run Road,Allenwood,PA,17810,800-255-2335,Certified,2006-04-04,True,Too far from Philadelphia?,2019-12-24,,,
103,S00235,Dolminis Methadone Maintenance Program,,2 Sellers Drive,Altoona,PA,16601,814-204-0059,Certified,2007-11-26,True,Too far from Philadelphia?,2019-12-24,,,
104,S00236,"Pennsylvania Care, LLC",Miners Medical,43 South Main Street,Ashley,PA,18706,570-822-5145,Certified,2011-04-07,True,Too far from Philadelphia?,2019-12-24,,,
105,S00237,Lehigh County Center for Recovery,,1620 Riverside Drive,Bethlehem,PA,18015,855-256-3285,Certified,2020-11-19,True,Too far from Philadelphia?,2019-12-24,,,
106,S00238,New Directions Treatment Services,,2442 Broadhead Rd.,Bethlehem,PA,18020,610-758-8011,Certified,2003-12-01,True,Too far from Philadelphia?,2019-12-24,,,
107,S00239,MedMark Treatment Centers - Blairsville PA,MedTech Rehab,1984 Route 22,Blairsville,PA,15717,724-459-4884,Certified,2011-10-13,True,Too far from Philadelphia?,2019-12-24,,,
108,S00240,"Foundations Medical Services, LLC",,160 Hindman Road,Butler,PA,16001,724-431-2006,Certified,2007-04-26,True,Too far from Philadelphia?,2019-12-24,,,
109,S00241,ARS of Pennsylvania LLC,,3433 Trindle Road,Camp Hill,PA,17011,717-761-4500,Certified,2016-12-07,True,Too far from Philadelphia?,2019-12-24,,,
110,S00242,"Fayette Treatment Program, LLC",GTC,2695 Roy E Furman Highway,Carmichaels,PA,15320,724-966-5000,Certified,2018-04-25,True,Too far from Philadelphia?,2019-12-24,,,
111,S00243,Pinnacle Treatment Centers PA-VIII,Charleroi Treatment Services,15 Arentzen Blvd.,Charleroi,PA,15022,724-565-1310,Certified,2018-10-12,True,Too far from Philadelphia?,2019-12-24,,,
112,S00123,"Prospect CCMC, LLC",Crozer Chester Medical Center,301 w 15th st,Chester,PA,19013,610-619-8645,Certified,2006-02-07,False,Beyond Philadelphia: check distance,2019-12-24,,,
113,S00244,"Discovery House CU, LLC",Discovery House,214 Airport Road,Clearfield,PA,16830,814-768-7575,Certified,2004-01-01,True,Too far from Philadelphia?,2019-12-24,,,
114,S00216,"Advanced Treatment Systems, LLC",Coatesville Treatment Center,1825 East Lincoln Hwy.,Coatesville,PA,19320,610-466-9250,Certified,2006-01-11,True,Too far from Philadelphia?,2019-12-24,,,
115,S00245,"Center for Behavioral Health-PA, LLC",Discovery House,"301 Smith Dr., Suite 3",Cranberry Township,PA,16066,724-779-2010,Certified,2006-06-20,True,Too far from Philadelphia?,2019-12-24,,,
116,S00217,Recovery Centers of America at Devon,Recovery Centers of America at Devon,235 W. Lancaster Ave,Devon,PA,19333,,Certified,2018-12-13,False,Beyond Philadelphia: check distance,2019-12-24,,,
117,S00246,"Aldie Foundation, Inc.",,11 Welden Drive,Doylestown,PA,18901,215-345-8530,Certified,2006-06-08,True,Too far from Philadelphia?,2019-12-24,,,
118,S00247,"Discovery House-BC, LLC",Discovery House,3438 Route 764,Duncansville,PA,16635,814-944-7000,Certified,2010-03-17,True,Too far from Philadelphia?,2019-12-24,,,
119,S00248,"Habit Opco, LLC",Habit OPCO - Dunmore,118 Monahan Avenue,Dunmore,PA,18512,570-344-5327,Certified,2013-05-01,True,Too far from Philadelphia?,2019-12-24,,,
120,S00004,Eagleville Hospital,Eagleville Hospital,100 Eagleville Rd.,Eagleville,PA,19403,610-539-6000,Certified,2004-07-14,False,Beyond Philadelphia: check distance,2019-12-24,,,
121,S00249,ARS of Ephrata,,11 S. State Street,Ephrata,PA,17522,717-740-6910,Provisional,,True,Too far from Philadelphia?,2019-12-24,,,
122,S00250,Esper Treatment Center,,25 West 18th St.,Erie,PA,16508,814-459-0817,Certified,2005-04-11,True,Too far from Philadelphia?,2019-12-24,,,
123,S00251,New Directions Healthcare,New Directions Healthcare,306 West 11th Street,Erie,PA,16501,814-240-6216,Certified,2016-01-27,True,Too far from Philadelphia?,2019-12-24,,,
124,S00252,"DISCOVERY HOUSE-NPA, LLC",Discovery House,1914 Mercer Avenue,Farrell,PA,16121,724-981-9815,Certified,2006-06-20,True,Too far from Philadelphia?,2019-12-24,,,
125,S00253,Medmark Treatment Centers - Greensburg,,1037 Compass Circle,Greensburg,PA,15601,724-834-1144,Certified,2007-10-02,True,Too far from Philadelphia?,2019-12-24,,,
