oid,id_samhsa_ftloc,id_dbhids_tad,id_ba_tad,id_samhsa_otp,id_hfp_fqhc,id_other_srcs,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
1,8,"[9, 49]",8,,,,Gaudenzia,Outreach I,,https://www.gaudenzia.org/,,215-238-2150 x2214,267-315-6907,,1306 Spring Garden Street,,Philadelphia,PA,19123,39.96176,-75.1598,No,Yes,No,No,Yes,Yes,Yes,"For bed availability, see: ""Gaudenzia""",True,False,True,True,False,,No,,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Unclear,No,Yes,Yes,False,,,
2,48,,1,,,,Beacon Point Recovery Center,,,,,267-313-0606,,,2301 East Allegheny Avenue,,Philadelphia,PA,19134,39.99,-75.106,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Beacon Point""",False,False,False,True,True,,,,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,False,,,
3,45,10,2,,,,Gaudenzia,DRC,,https://www.gaudenzia.org/,,215-991-9700 x279,215-991-9700 x220,610-416-4935,3200 Henry Avenue,,Philadelphia,PA,19129,40.00935,-75.1812,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""DRC""",False,False,True,True,False,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,False,,,
4,,,3,120,,37,Eagleville Hospital,,,https://www.eagleville.org/,,610-539-6000,800-255-2019,610-539-6000 x1,100 Eagleville Road,,Eagleville,PA,19403,40.15627,-75.4148,,,,Yes,Yes,,Yes,"For bed availability, see: ""Eagleville""",False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
5,69,,4,,,,Fairmount Behavioral Health System,,,https://fairmountbhs.com/,,215-487-4000 x4000,215-487-4100,,561 Fairthorne Avenue,,Philadelphia,PA,19128,40.04343,-75.2216,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Fairmount""",False,False,False,True,True,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,False,,,
6,,,5,,,29,RHD,Family House Now,,https://www.rhd.org/program/family-house-now-new-options-for-women/,,215-878-8616,,,1020 North 48th Street,,Philadelphia,PA,19131,39.97091,-75.2173,,,,,Yes,,Yes,"For bed availability, see: ""Family House Now""",False,False,True,True,False,,,,,,,,,,,,,,Yes,,,,,,,,Yes,No,False,,,
7,,,6,,,30,Firetree Ltd.,Conewago Place (Hummelstown),,https://www.firetree.com/locations/conewago-place/,,717-533-0428,888-347-3873,,424 Nye Road,,Hummelstown,PA,17036,40.23965,-76.6483,,,,,Yes,,Yes,"For bed availability, see: ""Firetree/Conewago Hummelstown""",False,False,True,True,False,,,,,,,,,,,Yes,,,,,,,,,,,No,Yes,False,,,
8,,,7,,,31,Firetree Ltd.,Conewago Pottsville,,https://www.firetree.com/locations/conewago-pottsville/,,570-628-5835,888-347-3873,,202 South Centre Street,,Pottsville,PA,17901,40.68398,-76.1935,,,,,Yes,,Yes,"For bed availability, see: ""Firetree/Conewago Pottsville""",False,False,False,True,True,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,False,,,
9,,,9,,,32,"Good Friends, Inc.",,,https://goodfriendsinc.org,,215-736-2861,,,868 West Bridge Street,,Morrisville,PA,19067,40.20093,-74.7921,,,,,Unclear,,Yes,"For bed availability, see: ""Good Friends""",True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,No,Yes,False,,,
10,,,10,,,33,Penn Medicine,HUP Cedar,,https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/hospital-of-the-university-of-pennsylvania-cedar-ave,https://www.trinityhealthma.org/location/mcmc-mercy-philadelphia,215-748-9000,,,501 South 54th Street,,Philadelphia,PA,19143,39.95241,-75.2302,,,,,Yes,,Yes,"For bed availability, see: ""HUP Cedar""",False,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
11,42,50,,10,,,Mercy Philadelphia Hospital,,,https://www.trinityhealthma.org/location/mcmc-mercy-philadelphia,,215-748-9391,215-831-2600,,501 South 54th Street,,Philadelphia,PA,19143,39.95241,-75.2302,Unclear,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,True,,,
12,65,12,11,,,,PHMC,"Interim House, Inc.",,https://interimhouse.phmc.org/,,215-849-4606 x6617,215-849-4606 x6607,215-849-4606 x6602,333 West Upsal Street,,Philadelphia,PA,19119,40.04313,-75.189,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Interim House""",True,False,True,True,False,,Yes,,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Unclear,No,Yes,No,False,,,
13,34,,12,,,,PHMC,Interim House West,,https://www.phmc.org/site/32-misc/shared-programs/155-ihw,https://www.phmc.org,215-871-0300,,,4108 Parkside Avenue,,Philadelphia,PA,19104,39.9752,-75.2074,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Interim House West""",False,False,True,True,False,,Yes,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,False,,,
14,30,17,13,22,,,Kensington Hospital,,,https://www.kensingtonhospital.org/,,215-426-8100,215-426-8100 x6020,215-426-8100 x6005,136 West Diamond Street,,Philadelphia,PA,19122,39.98183,-75.1347,No,No,Yes,Yes,Yes,,Yes,"For bed availability, see: ""Kensington""",False,True,False,True,True,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,False,,,
15,,,14,,,34,Keystone Center,,,https://keystonecenter.net/,,610-876-9000,,,2001 Providence Avenue,,Chester,PA,19013,39.86595,-75.3606,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Keystone Center""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
16,36,,15,9,,,Kirkbride Center,,,http://www.kirkbridecenter.com/,,215-471-2600,215-471-2488,215-471-2078,111 North 49th Street,,Philadelphia,PA,19139,39.96135,-75.218,Yes,Yes,Yes,Yes,Yes,,Yes,"For bed availability, see: ""Kirkbride""",False,False,True,True,True,,,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,False,,,
17,,,16,,,35,"Libertae, Inc.",Freedom in Recovery,,https://www.libertae.org/,,215-639-8681,,,5245 Bensalem Boulevard,,Bensalem,PA,19020,40.11437,-74.9085,,,,,Unclear,,Yes,"For bed availability, see: ""Libertae""",True,False,True,False,False,,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,False,,,
18,97,,17,,,,Malvern Treatment Centers,Willow Grove Inpatient,,https://www.malverntreatment.com/willow-grove-pa/,https://www.malverntreatment.com/,610-625-8376,610-647-0330,,240 Fitzwatertown Road,,Willow Grove,PA,19090,40.1532,-75.1277,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,Yes,,,,,,,,,,,,,,,,,,,,False,,[_] 5 locations: Which are included in DBHIDS bed availability updates? (https://www.malverntreatment.com/locations/),
19,,,17,,,39,Malvern Treatment Centers,Philadelphia Inpatient,Constitution Health Plaza,https://www.malverntreatment.com/malvern-philadelphia/,,610-625-8376,,,1930 South Broad Street,3rd Floor,Philadelphia,PA,19145,39.92632,-75.1703,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,Opened 2021-02-22,
