oid,site_id,name1,coe,ref_address,street1,street2,city,state_usa,zipcode,latitude,longitude,phone1,asm,ba,name_ba,mat_info,bu,bui,nu,vti,mu,additional_info,phone2,walk_in_hours,wih_induction,oit,op,mhs,ccc,hs,pw,male,sp,ales,f47,f92,f17,f44,archival_only,why_hidden,date_firstfind,date_lastfind,data_review,date_update
100001,S00046,ADDICTION MEDICINE AND HEALTH ADVOCATES (AMHA),,"928 MARKET ST, 19107",928 Market St,,Philadelphia,PA,19107,39.95140098,-75.1560535,215-923-4202,,,,MMT induction,,,,,True,IOP/OP | Spanish; Child care on site,,,,True,True,,True,,,,True,,,,,,False,,2020-02-28,,,
100002,S00047,ASOCIACION PUERTORRIQUENOS EN MARCHA (APM),,"4301 RISING SUN AVE, PHILA, 19140",4301 Rising Sun Ave,,Philadelphia,PA,19140,40.015901,-75.12910001,267-296-7200,,,,Buprenorphine induction,True,True,,,,IOP/OP; MH Tx on-site | Spanish,,,,True,True,True,,,,,True,,,,,,False,,2020-02-28,,,
100003,S00048,CASA DE CONSEJERIA Y SALUD INTEGRAL,,"213 W ALLEGHENY AVE, 19140",213 West Allegheny Ave,,Philadelphia,PA,19133,39.999377,-75.13368499,215-634-3259,,,,Buprenorphine induction,True,True,,,,IOP,,,,True,,,,,,,,,,,,,False,,2020-02-28,,zipcode corrected from 19140 to 19133 per SAMHSA entry & Google Maps,
100004,S00049,CHANCES- PHILA HEALTH MGMT CORP (PHMC),,"1200 CALLOWHILL ST, SUITE 102, 19123",1200 Callowhill St,Suite 102,Philadelphia,PA,19123,39.95904123,-75.1583643,215-825-8220,,,,Buprenorphine induction,True,True,,,,OP/IOP,,,,True,True,,,,,,,,,,,,False,,2020-02-28,,,
100005,S00051,COMHAR,,"2055 E. ALLEGHENY AVE, 19134",2055 East Allegheny Ave,,Philadelphia,PA,19134,39.99300201,-75.10982297,215-427-5800,,,,Buprenorphine induction,True,True,,,,OP; MH Tx on-site | Spanish | Registration: (267) 861-4382,267-861-4382,,,,True,True,,,,,True,,,,,,False,,2020-02-28,,,
100006,S00052,COMHAR,,"2600 N AMERICAN ST, 19133",2600 North American St,,Philadelphia,PA,19133,39.99021499,-75.13687397,215-739-2669,,,,Buprenorphine induction,True,True,,,,OP; MH Tx on-site | Spanish | Registration: (267) 861-4382,267-861-4382,,,,True,True,,,,,True,,,,,,False,,2020-04-13,,,
100007,S00053,THE CONSORTIUM,,"451 S. UNIVERSITY AVE, 19104",451 South University Ave,,Philadelphia,PA,19104,39.94826101,-75.197984,215-596-8000,,,,MMT induction | Vivitrol,,,True,,True,IOP/OP; MH Tx on-site | Spanish; Child care on site,,,,True,True,True,True,,,,True,,,,,,False,,2020-02-28,,,
100008,S00054,DREXEL MEDICINE CARING TOGETHER CLINIC,,"4700 WISSAHICKON AVE, 19144",4700 Wissahickon Ave,,Philadelphia,PA,19144,40.01538098,-75.174055,215-967-2130,,,,Buprenorphine/Vivitrol maintenance,True,,True,,,"OP | Females only, Child care on site",,,,,True,,True,,,False,,,,,,,False,,2020-02-28,,,
100009,S00001,GAUDENZIA OUTREACH I,,"1306 SPRING GARDEN ST, 19123",1306 Spring Garden St,,Philadelphia,PA,19123,39.961763,-75.15979999,215-238-2150,True,True,Gaudenzia,Vivitrol,,,True,,,IOP/OP; MH Tx on-site | Spanish,,,,True,True,True,,,,,True,,,,,,False,,2020-02-28,,[_] Should buprenorphine become True? (see Assessment directory entry [page 2] for same address),
100010,S00003,GAUDENZIA-DRC,,"3200 HENRY AVE, 19129",3200 Henry Ave,,Philadelphia,PA,19129,40.00934501,-75.18120804,215-991-9700,,True,DRC,Vivitrol,,,True,,,IOP/OP,,,,True,True,,,,,,,,,,,,False,,2020-02-28,,,
100011,S00055,GREATER PHILA ASIAN SOCIAL SERVICES CENTER,,"4943 N. 5TH ST, 19120",4943 North 5th St,,Philadelphia,PA,19120,40.02692601,-75.13228404,215-456-1662,,,,Vivitrol,,,True,,,"IOP/OP | Spanish, Korean, Vietnamese, Chinese, Cambodian",,,,True,True,,,,,,True,True,True,True,True,True,False,,2020-02-28,,,
100012,S00012,"INTERIM HOUSE, INC. - PHMC",,"333 W. UPSAL ST, 19139",333 West Upsal St,,Philadelphia,PA,19119,40.04313401,-75.18895501,215-849-4606,,True,Interim House,Buprenorphine induction | Vivitrol,True,True,True,,,IOP/OP; MH Tx on-site | Spanish,,,,True,True,True,,,,,True,,,,,,False,,2020-02-28,,zipcode corrected from 19139 (West) to 19119 (NW) per Google Maps & SAMHSA entry,
100013,S00056,JEVS HUMAN SERVICES - ACT I,,"5820 OLD YORK ROAD, 19141",5820 Old York Rd,,Philadelphia,PA,19141,40.04204101,-75.14472698,215-276-8400,,,,MMT induction,,,,,True,IOP/OP,,,,True,True,,,,,,,,,,,,False,,2020-02-28,,,
100014,S00057,JEVS HUMAN SERVICES - ACT II,,"1745 N. 4TH ST, 19122",1745 North 4th St,,Philadelphia,PA,19122,39.97752701,-75.141207,215-236-0100,,,,MMT induction,,,,,True,IOP/OP | Spanish,,,,True,True,,,,,,True,,,,,,False,,2020-02-28,,,
100015,S00058,JOHN F. KENNEDY BEHAVIORAL HEALTH CENTER (JFK),,"907 N. BROAD ST, 19123",907 North Broad St,,Philadelphia,PA,19123,39.970435,-75.15917604,215-235-5520,,,,MMT induction,,,,,True,OP; MH Tx on-site,,,,,True,True,,,,,,,,,,,False,,2020-02-28,,,
100016,S00059,JOHN F. KENNEDY BEHAVIORAL HEALTH CENTER (JFK),,"112 N BROAD ST, 19102",112 North Broad St,,Philadelphia,PA,19102,39.95497101,-75.16356899,215-556-0860,,,,Vivitrol,,,True,,,OP; MH Tx on-site,,,,,True,True,,,,,,,,,,,False,,2020-04-13,,,
100017,S00014,KENSINGTON HOSPITAL,,"136 DIAMOND ST, 19122",136 Diamond St,,Philadelphia,PA,19122,39.98182741,-75.13466693,215-426-8100,,True,Kensington,MMT induction,,,,,True,OP,,,,,True,,,,,,,,,,,,False,,2020-02-28,,,
100018,S00060,MERAKEY BEHAVIORAL HEALTH,,"5000 PARKSIDE AVE, 19131",5000 Parkside Ave,,Philadelphia,PA,19131,39.979682,-75.21979103,215-879-6116,,,,Buprenorphine induction | MMT induction & Vivitrol,True,True,True,,True,IOP/OP; MH Tx on-site,,M-F 7a-5:30p; Sa 8a-1:30p; Su 8-11:30a,True,True,True,True,,,,,,,,,,,False,,2020-02-28,,,
100019,S00061,MERAKEY BEHAVIORAL HEALTH,,"5429 GERMANTOWN AVE, 19144",5429 Germantown Ave,,Philadelphia,PA,19144,40.03397502,-75.17134698,215-754-0240,,,,Buprenorphine induction | MMT induction & Vivitrol,True,True,True,,True,IOP/OP; MH Tx on-site,,7a-5:30p,True,True,True,True,,,,,,,,,,,False,,2020-02-28,,,
100020,S00081,MERAKEY BEHAVIORAL HEALTH,,"100 E LEHIGH AVE, 19125",100 East Lehigh Ave,,Philadelphia,PA,19125,39.98999999,-75.12924501,215-634-2520,True,,,Buprenorphine induction | Vivitrol,True,True,True,,,IOP/OP; MH Tx on-site,,M-F 8a-5p,True,True,True,True,,,,,,,,,,,False,,2020-02-28,,"[_] Should Assessment stay True? (same address, different phone and name [Temple/Episcopal] on page 2)",
100021,S00062,MERAKEY BEHAVIORAL HEALTH,,"11082 KNIGHTS ROAD, 19154",11082 Knights Rd,,Philadelphia,PA,19154,40.08360301,-74.97527096,215-632-9040,,,,Buprenorphine induction | Vivitrol,True,True,True,,,IOP/OP,,M-F 8a-5p,True,True,True,,,,,,,,,,,,False,,2020-02-28,,,
100022,S00024,NORTH PHILA HEALTH SYSTEM - GOLDMAN CLINIC,,"801 W. GIRARD AVE, 19122",801 West Girard Ave,,Philadelphia,PA,19122,39.97137201,-75.14977598,215-787-2000,,True,NPHS,MMT induction | Vivitrol,,,True,,True,IOP/OP | Spanish,,,,True,True,,,,,,True,,,,,,False,,2020-02-28,,,
100023,S00063,NET CENTERS,,"499 N. 5TH ST, 19123",499 North 5th St,,Philadelphia,PA,19123,39.96048776,-75.14671186,215-451-7100,,,,Buprenorphine induction | Vivitrol,True,True,True,,,IOP/OP; MH Tx on-site,,,,True,True,True,,,,,,,,,,,False,,2020-02-28,,,
100024,S00033,NET CENTERS,,"2205 BRIDGE ST, 19137",2205 Bridge St,,Philadelphia,PA,19137,40.01062899,-75.06910503,215-743-6150,,,,Buprenorphine induction | MMT induction & Vivitrol,True,True,True,,True,IOP/OP; MH Tx on-site,,"M-W 7a-5p, Th 7-11a; F 7a-12p",True,True,True,True,,,,,,,,,,,False,,2020-02-28,,,
100025,S00064,NET CENTERS,,"7520 STATE ROAD, 19136",7520 State Rd,,Philadelphia,PA,19136,40.029456,-75.02666401,267-348-3550,,,,Buprenorphine induction | MMT induction & Vivitrol,True,True,True,,True,IOP/OP; MH Tx on-site | Child care on site,,[unspecified],True,True,True,True,True,,,,,,,,,,False,,2020-02-28,,,
100026,S00065,NET CENTERS,,"4625 FRANKFORD AVE, 2ND FL, 19124",4625 Frankford Ave,2nd Floor,Philadelphia,PA,19124,40.01520002,-75.08480903,267-597-3920,,,,Buprenorphine induction,True,True,,,,OP; MH Tx 1st FL | Spanish,,M-F 9a-4p,True,,True,True,,,,,True,,,,,,False,,2020-02-28,,,
100027,S00066,PATHWAYS TO HOUSING*,True,"5201 OLD YORK ROAD, SUITE 108, 19141",5201 Old York Rd,Suite 108,Philadelphia,PA,19141,40.032958,-75.144659,215-390-1500,,,,Buprenorphine induction | Vivitrol,True,True,True,,,Spanish | Housing Assistance,,,,,,,,True,,,True,,,,,,False,,2020-02-28,,,
100028,S00045,PATHWAYS TO RECOVERY (PHMC),,"2301 EAST ALLEGHENY AVE, 19134",2301 East Allegheny Ave,,Philadelphia,PA,19134,39.98999798,-75.10601599,215-731-2402,True,,,Vivitrol & Buprenorphine | MMT clinic coordination,True,,True,,True,Partial Hospital Program; MH Tx on-site | Spanish,,,,,,True,,,,,True,,,,,,False,,2020-02-28,,,
100029,S00067,PENN MEDICINE MOTHERS MATTER PROGRAM*,True,"3400 SPRUCE ST, 1 WEST GATES, 19103",3400 Spruce St,1 West Gates,Philadelphia,PA,19103,39.94998998,-75.19360504,267-593-2969,,,,Buprenorphine induction,True,True,,,,Pregnant Women,,,,,,,,,True,,,,,,,,False,,2020-02-28,,,
100030,S00300,PENN OUTPATIENT (TOTAL RECOVERY),,"8220 CASTOR AVE, 19152",4040 Market Street,"2nd Floor, Suite 200 & 220",Philadelphia,PA,19104,39.95693598,-75.20344799,215-662-8747,,,,Vivitrol & Suboxone | Buprenorphine induction,True,True,True,,,IOP/OP | Spanish,,M-F: 8:30a - 4:30p; 2nd Floor,,True,True,,,,,,True,,,,,,False,,2020-04-13,,"[_] ref_address in TAD is wrong: Spring 2020 Fact Sheet 2A accidentally lists 8220 Castor address & phone for People Acting To Help | [_] Should walk-in hours be True? (not coded yellow in PDF, but lists hours)",
100031,S00068,PEOPLE ACTING TO HELP (PATH),,"1200 CALLOWHILL ST, 1st Floor, 19123",8220 Castor Ave,,Philadelphia,PA,19152,40.0650587,-75.05319464,215-728-4600,,,,Buprenorphine induction | Vivitrol,True,True,True,,,OP,,,,,True,,,,,,,,,,,,False,,2020-04-13,,[_] ref_address in TAD is wrong: Spring 2020 Fact Sheet 2A accidentally lists 1200 Callowhill address & phone for PHMC Care Clinic,
100032,S00050,PHMC CARE CLINIC MAT PROGRAM*,True,"1200 CALLOWHILL ST, 1st Floor, 19123",1200 Callowhill St,1st Floor,Philadelphia,PA,19123,39.95904123,-75.1583643,267-398-0247,,,,Buprenorphine induction | Vivitrol,True,True,True,,,Health Care Center | Spanish; PCP,,,,,,,,,,,True,,,,,,False,,2020-02-28,,,
100033,S00069,PREVENTION POINT*,True,"2913-2915 KENSINGTON AVE, 19134",2913-2915 Kensington Ave,,Philadelphia,PA,19134,39.99272902,-75.11965603,215-634-5272,,,,Buprenorphine induction | Vivitrol,True,True,True,,,Harm Reduction Svcs | Spanish,,,,,,,,,,,True,,,,,,False,,2020-02-28,,,
100034,S00070,PROJECT HOME (STEPHEN KLEIN WELLNESS CENTER)*,True,"2144 CECIL B. MOORE AVE, 19121",2144 Cecil B. Moore Ave,,Philadelphia,PA,19121,39.98016601,-75.17080802,215-320-6187 x5756,,,,Buprenorphine induction | Vivitrol induction,True,True,True,True,,,,,,,,,,,,,,,,,,,False,,2020-02-28,,[_] Should housing services be True? (previous address listed it in additional_information),
100035,S00071,SOAR CORP,,"9150 MARSHALL ST, SUITE 2, 19114",9150 Marshall St,Suite 2,Philadelphia,PA,19114,40.07245022,-75.03190542,215-464-4450,,,,MMT induction,,,,,True,IOP/OP,,,,True,True,,,,,,,,,,,,False,,2020-02-28,,,
100036,S00072,THOMAS JEFFERSON UNIVERSITY FAMILY CENTER*,True,"1233 LOCUST ST, SUITE 201, 19107",1233 Locust St,Suite 201,Philadelphia,PA,19107,39.94811499,-75.16194299,215-955-8577,,,,MMT induction | Bupe maintenance,True,,,,True,"*MATER; IOP/OP; MH Tx on-site | Females only, pregnancy, child care on site",,,,True,True,True,True,,True,False,,,,,,,False,,2020-02-28,,,
100037,S00073,THOMAS JEFFERSON UNIVERSITY (NARP)*,True,"1021 S 21ST ST, 19146",1021 South 21st St,,Philadelphia,PA,19146,39.94000768,-75.17798687,215-735-5979,,,,MMT induction | Bupe maintenance,True,,,,True,IOP/OP; MH Tx on-site | Spanish,,,,True,True,True,,,,,True,,,,,,False,,2020-02-28,,"MAT info added Buprenorphine in mid 2020 and updated address (but at same loc: was ""21st & WASHINGTON AVE, 19147"", same phone)",
100038,S00074,TEMPLE TWO PROGRAM*,True,"3401 N BROAD ST, 19140",3401 North Broad St,,Philadelphia,PA,19140,40.005339,-75.15073596,215-707-3008,,,,Buprenorphine induction,True,True,,,,Partners with the Wedge MC | OB-GYN Svcs,,,,,,,,,True,,,,,,,,False,,2020-02-28,,,
100039,S00075,WEDGE MEDICAL CENTER*,True,"3609 N. BROAD ST, 19140",3609 North Broad St,,Philadelphia,PA,19140,40.00797901,-75.15108297,215-276-3922,,,,Buprenorphine induction | Vivitrol,True,True,True,,,Partners with Temple TWO | Spanish; IOP/OP; MH Tx on-site,,M-W 2-3:30p,True,True,True,True,,,,,True,,,,,,False,,2020-02-28,,[_] Does Temple TWO partnership mean this site has services for pregnant women?,
