oid,site_id,archival_only,why_hidden,name_system,name_site,name_short,admin_office,street1,street2,city,state_usa,zipcode,latitude,longitude,website,phone1,phone2,date_firstfind,date_lastfind,data_review,date_update
100001,S00140,True,Not a practice site,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",CPPH: Admin,True,1101 Market St,8th Floor,Philadelphia,PA,19107,39.95213399,-75.15845301,http://www.phila.gov/health/AmbulatoryHealth/,215-685-4758,,2021-02-23,2021-02-23,Use updated website (2021 redirected URL for PDPH) in sites_all: https://www.phila.gov/departments/department-of-public-health/,
100002,S00141,False,,City of Philadelphia Public Health,District Health Center #2,CPPH: Health Ctr #2,False,1700 South Broad St,Unit 201,Philadelphia,PA,19145,39.92895099,-75.16937103,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-1803,,2020-03-01,2021-02-23,,
100003,S00142,False,,City of Philadelphia Public Health,District Health Center #3,CPPH: Health Ctr #3,False,555 South 43rd St,,Philadelphia,PA,19104,39.94894501,-75.208971,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7504,,2020-03-01,2021-02-23,,
100004,S00143,False,,City of Philadelphia Public Health,District Health Center #4,CPPH: Health Ctr #4,False,4400 Haverford Ave,,Philadelphia,PA,19104,39.96252819,-75.21063116,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7601,,2020-03-01,2021-02-23,Corrected: ZIP typo from 19121 to 19104,
100005,S00144,False,,City of Philadelphia Public Health,District Health Center #5,CPPH: Health Ctr #5,False,1900 North 20th St,,Philadelphia,PA,19121,39.98317901,-75.16692997,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2933,,2020-03-01,2021-02-23,Corrected: ZIP typo from 19130 to 19121,
100006,S00145,False,,City of Philadelphia Public Health,District Health Center #6,CPPH: Health Ctr #6,False,321 West Girard Ave,,Philadelphia,PA,19123,39.96991853,-75.14227521,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-3800,,2020-03-01,2021-02-23,"Corrected: street_address typo corrected from ""301"" to ""321"" (West Girard Ave)",
100007,S00146,False,,City of Philadelphia Public Health,District Health Center #9,CPPH: Health Ctr #9,False,131 East Chelten Ave,,Philadelphia,PA,19144,40.0379496,-75.17267458,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-5701,,2020-03-01,2021-02-23,,
100008,S00147,False,,City of Philadelphia Public Health,District Health Center #10,CPPH: Health Ctr #10,False,2230 Cottman Ave,,Philadelphia,PA,19149,40.04814199,-75.06149401,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-0639,,2020-03-01,2021-02-23,,
100009,S00149,False,,City of Philadelphia Public Health,Strawberry Mansion Health Center,CPPH: Strawberry Mansion,False,2840 West Dauphin St,,Philadelphia,PA,19132,39.99084383,-75.17931232,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2400,,2020-03-01,2021-02-23,,
100010,S00150,False,,"Delaware Valley Community Health, Inc. (DVCH)",Main Admin Office,DVCH: Admin,True,1412 Fairmount Ave,2nd Floor,Philadelphia,PA,19130,39.96682399,-75.16141199,http://www.dvch.org/,215-235-9600,,2021-02-23,2021-02-23,"Corrected: street_address from ""1420"" to ""1412"" and ""2nd Floor"" added (per DVCH website)",
100011,S00150,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center,DVCH: FPCC,,1412 Fairmount Ave,,Philadelphia,PA,19130,39.96682399,-75.16141199,http://dvch.org/,215-235-9600,,2020-03-01,2021-02-23,,
100012,S00151,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Girard Medical Center,DVCH: FPCC-GMC,False,801 West Girard Ave,,Philadelphia,PA,19122,39.97137201,-75.14977598,http://dvch.org/,215-827-8010,,2020-03-01,2021-02-23,,
100013,S00152,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Horizon House,DVCH: FPCC-HH,False,5901 Market St,,Philadelphia,PA,19139,39.96207099,-75.23911902,http://dvch.org/,215-222-2466,,2020-03-01,2021-02-23,"Updated: location on 2021 DVCH website has ""5901 Market St"" (ZIP 19139) instead of ""120 South 30th St"" (ZIP 19104)",
100014,S00095,False,,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Sharon Hill,DVCH: FPCC-SH,False,800 Chester Pike,,Sharon Hill,PA,19079,39.91184499,-75.269876,https://dvch.org/fairmount-primary-sharon-hill/,610-278-7381,,2021-02-23,2021-02-23,Listing ADDED: from DVCH website (not specified on HFP webpage),
100015,S00153,False,,"Delaware Valley Community Health, Inc.",Maria de los Santos Health Center,DVCH: MDLS,False,401 West Allegheny Ave,,Philadelphia,PA,19133,39.99992798,-75.13683701,http://dvch.org/,215-291-2500,,2020-03-01,2021-02-23,,
100016,S00154,False,,"Delaware Valley Community Health, Inc.",Maria de los Santos Women’s Health Center,DVCH: MDLS WHC,False,400 West Allegheny Ave,Unit B-5,Philadelphia,PA,19133,39.999249,-75.136477,https://dvch.org/maria-de-los-santos-womens-health/,215-207-0522,,2021-02-23,2021-02-23,Listing ADDED: from DVCH website (not specified on HFP webpage),
100017,S00155,False,,"Delaware Valley Community Health, Inc.",Norristown Regional Health Center,DVCH: NRHC,False,1401 DeKalb St,,Norristown,PA,19401,40.12375698,-75.33382104,https://dvch.org/norristown-regional-health/,610-278-7787,,2021-02-23,2021-02-23,,
100018,S00156,False,,"Delaware Valley Community Health, Inc.",Parkview Health Center,DVCH: Parkview OB/GYN,False,841 East Hunting Park Ave,2nd Floor,Philadelphia,PA,19124,40.012076,-75.11035204,http://dvch.org/,215-537-7695,,2020-03-01,2021-02-23,"Updated: address_suppl replaced ""Suite 201"" with ""2nd Floor"" to match 2021 website",
100019,S00157,False,,Esperanza Health Center,Main Admin Office,Esperanza: Admin,True,4417 North 6th St,,Philadelphia,PA,19140,40.01893298,-75.13652897,http://www.esperanzahealthcenter.org/,215-302-3150,,2021-02-23,2021-02-23,,
100020,S00157,False,,Esperanza Health Center,Hunting Park Site,Esperanza: Hunting Park,,4417 North 6th St,,Philadelphia,PA,19140,40.01893298,-75.13652897,http://esperanzahealth.com/,215-302-3600,,2020-03-01,2021-02-23,,
100021,S00158,False,,Esperanza Health Center,Kensington Site,Esperanza: Kensington,False,861 East Allegheny Ave,,Philadelphia,PA,19134,39.99678799,-75.11348201,https://esperanzahealth.com/patients/our-locations/,215-302-3600,215-831-1100,2020-03-01,2021-02-23,"Updated: street_address changed from ""3156 Kensington Ave"" to ""861 East Allegheny Ave"" (same ZIP) in mid-2020 -- separate listing added",
100022,S00159,False,,Esperanza Health Center,Fifth Street Site,Esperanza: 5th St,False,2940 North 5th St,,Philadelphia,PA,19133,39.99616501,-75.13955098,http://esperanzahealth.com/,215-302-3600,215-221-6633,2020-03-01,2021-02-23,Unclear: current accuracy of phone2 (2021),
100023,S00160,True,Site closed,Esperanza Health Center,Kensington & Allegheny,Esperanza: K & A,False,3156 Kensington Ave,,Philadelphia,PA,19134,39.99630201,-75.11431902,http://esperanzahealth.com/,215-831-1100,215-302-3600,2020-03-01,2020-06-30,,
