oid,id_samhsa_ftloc,id_dbhids_tad,id_ba_tad,id_samhsa_otp,id_hfp_fqhc,id_other_srcs,map_marker,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
1,100008,"[100009,100049]",1008,,,,ba_weekly,Gaudenzia Inc.,Outreach I,,https://www.gaudenzia.org/,,215-238-2150 x2214,267-315-6907,,1306 Spring Garden Street,,Philadelphia,PA,19123,39.961763,-75.15979999,Yes,Yes,No,No,Yes,Yes,Yes,"Offers assessment | For bed availability, see: ""Gaudenzia""",False,,False,False,,,No,,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,False,,,
2,100048,,1001,,,,ba_weekly,Beacon Point Recovery Center,,,,,267-313-0606,,,2301 East Allegheny Avenue,,Philadelphia,PA,19134,39.98999798,-75.10601599,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Beacon Point""",False,,,False,,,,,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,False,,,
3,100045,100010,1002,,,,ba_weekly,Gaudenzia Inc.,DRC,,https://www.gaudenzia.org/,,215-991-9700 x279,215-991-9700 x220,610-416-4935,3200 Henry Avenue,,Philadelphia,PA,19129,40.00934501,-75.18120804,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""DRC""",False,,False,False,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,False,,,
4,,,1003,100120,,100037,ba_weekly,Eagleville Hospital,,,https://www.eagleville.org/,,610-539-6000,800-255-2019,610-539-6000 x1,100 Eagleville Road,,Eagleville,PA,19403,40.15626598,-75.41479902,,,,Yes,Yes,,Yes,"For bed availability, see: ""Eagleville""",,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
5,100069,,1004,,,,ba_weekly,Fairmount Behavioral Health System,,,https://fairmountbhs.com/,,215-487-4000 x4000,215-487-4100,,561 Fairthorne Avenue,,Philadelphia,PA,19128,40.04343002,-75.22155198,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Fairmount""",False,,,False,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,False,,,
6,,,1005,,,100029,ba_weekly,RHD,Family House Now,,https://www.rhd.org/program/family-house-now-new-options-for-women/,,215-878-8616,,,1020 North 48th Street,,Philadelphia,PA,19131,39.97091464,-75.21732349,,,,,Yes,,Yes,"Women only | For bed availability, see: ""Family House Now""",,,,False,,False,,,,,,,,,,,,,Yes,,,,,,,,Yes,No,False,,,
7,,,1006,,,100030,ba_weekly,Firetree Ltd.,Conewago Place (Hummelstown),,https://www.firetree.com/locations/conewago-place/,,717-533-0428,888-347-3873,,424 Nye Road,,Hummelstown,PA,17036,40.23964601,-76.64827604,,,,,Yes,,Yes,"Men only | For bed availability, see: ""Firetree/Conewago Hummelstown""",,,,False,,False,,,,,,,,,,Yes,,,,,,,,,,,No,Yes,False,,,
8,,,1007,,,100031,ba_weekly,Firetree Ltd.,Conewago Pottsville,,https://www.firetree.com/locations/conewago-pottsville/,,570-628-5835,888-347-3873,,202 South Centre Street,,Pottsville,PA,17901,40.68397502,-76.193465,,,,,Yes,,Yes,"For bed availability, see: ""Firetree/Conewago Pottsville""",,,,False,,False,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,False,,,
9,,,1009,,,100032,ba_weekly,"Good Friends, Inc.",,,https://goodfriendsinc.org,,215-736-2861,,,868 West Bridge Street,,Morrisville,PA,19067,40.20093499,-74.79211104,,,,,Unclear,,Yes,"Men only | For bed availability, see: ""Good Friends""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,No,Yes,False,,,
10,,,1010,,,100033,ba_weekly,Penn Medicine,HUP Cedar,,https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/hospital-of-the-university-of-pennsylvania-cedar-ave,https://www.trinityhealthma.org/location/mcmc-mercy-philadelphia,215-748-9000,,,501 South 54th Street,,Philadelphia,PA,19143,39.95241393,-75.23024877,Yes,,,No,Yes,,Yes,"For bed availability, see: ""HUP Cedar""",,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,False,,,
