oid,site_id,map_marker,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,dental,wdc,hcv,ref1,ref2,ref3,ref4,ref5,ref6,ref7,archival_only,why_hidden,data_review,date_update
100001,S00193,tbd_unclear,Asociación Puertorriqueños en Marcha,,,https://apmphila.org/how-we-help/health/,,267-296-7220,267-798-7560,,112 East Allegheny Avenue,,Philadelphia,PA,19134,39.998162,-75.12884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
100002,S00029,ba_weekly,CATCH (Citizens Acting Together Can Help),River's Bend Addiction Treatment Unit,,https://catchinc.com/services/drug-alchohol/riversbend-addiction-treatment-unit/,,215-735-7435,215-755-6112,,2401 Penrose Avenue,2nd Floor,Philadelphia,PA,19145,39.90916199,-75.18831103,,,,,,,True,"For bed availability, see: ""Riversbend""",False,False,False,True,False,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,False,,,
100003,S00194,other_mat,Drexel University Medicine,Partnership Comprehensive Care Practice,,https://drexelmedicine.org/patient-services/partnership-comprehensive-care-practice/,https://towerhealth.org/locations/drexel-partnership,215-762-2530 (2nd Floor),215-762-6565 (6th Floor),,1427 Vine Street,,Philadelphia,PA,19102,39.958485,-75.16359397,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100004,S00307,other_mat,Drexel Internal Medicine,& Drexel Infectious Disease,,https://towerhealth.org/locations/drexel-internal-medicine,https://towerhealth.org/locations/drexel-infectious-disease,215-762-8397,215-762-6555,,245 North 15th St,,Philadelphia,PA,19102,39.95733202,-75.16421541,True,,,,True,,,4 listings for waivered practitioners confirmed in 2020q3/q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,geobupe_005,
100005,S00195,other_mat,Tower Health,Psychiatry - Vine Street,,https://towerhealth.org/locations/psychiatry-tower-health-medical-group-psychiatry-vine-street,,267-507-6581,,,1427 Vine Street,8th Floor,Philadelphia,PA,19102,39.958485,-75.16359397,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100006,S00196,other_mat,Tower Health,Chestnut Hill Hospital,,https://towerhealth.org/locations/chestnut-hill-hospital,,215-248-8200,,,8835 Germantown Avenue,,Philadelphia,PA,19118,40.079624,-75.21231596,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100007,S00197,other_mat,Tower Health,Family Medicine Residency - Chestnut Hill,,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-residency-chestnut-hill,,215-248-8145,,,8815 Germantown Avenue,5th Floor,Philadelphia,PA,19118,40.07872732,-75.21240188,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100008,S00198,other_mat,Tower Health,Family Medicine - Broad Street,,https://towerhealth.org/locations/tower-health-medical-group-family-medicine-broad-street,,215-762-5145,,,219 North Broad Street,1st Floor,Philadelphia,PA,19107,39.956888,-75.16223904,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100009,S00078,other_mat,Jefferson University Hospitals,,,https://hospitals.jefferson.edu/find-a-location/locations/1015-walnut-street.html,https://www.jefferson.edu/academics/colleges-schools-institutes/skmc/departments/family-medicine/fellowships/hospice-palliative/faculty.html,215-503-6337,,,1015 Walnut Street,Suite 401,Philadelphia,PA,19107,39.94879401,-75.15793099,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
100010,S00082,tbd_unclear,Northeast Treatment Centers (NET),North Counseling Center,,http://netcenters.org/services/addiction-recovery-programs/,,215-226-1600,,,2701 North Broad Street,,Philadelphia,PA,19132,39.99415101,-75.15391899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
100011,S00298,dbhids_coe,Penn Medicine,Presbyterian Medical Center,,https://www.med.upenn.edu/psychiatry/presbyterian_treatment.html,,267-809-5080,,,3910 Powelton Avenue,,Philadelphia,PA,19104,39.95851601,-75.19923701,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Source removed record,,
