oid,site_id,program_name,dba,street,city,state_usa,zipcode,latitude,longitude,phone,certification,full_certification,archival_only,why_hidden,date_firstfind,date_lastfind,data_review,date_update
100001,S00046,"Addiction Medicine and Health Advocates, Inc.","AMHA, Inc.",928 Market Street,Philadelphia,PA,19107-4220,39.95140098,-75.1560535,215-923-4202,Certified,2006-06-07,False,,2019-12-24,,,
100002,S00057,Achievement Through Counseling and Treatment (ACT II),,1745 North Fourth St.,Philadelphia,PA,19122,39.97752701,-75.141207,215-236-0100,Certified,2005-09-12,False,,2019-12-24,,,
100003,S00072,Family Center,Family Center,1233 Locust Street,Philadelphia,PA,19007,39.94811499,-75.16194299,215-955-8577,Certified,2006-08-31,False,,2019-12-24,,,
100004,S00073,Narcotic Addict Rehabilitation Program of Thomas Jefferson University,,"NE Corner, 21st St. & Washington Ave.",Philadelphia,PA,19146,39.94000768,-75.17798687,215-790-9942,Certified,2006-10-12,False,,2019-12-24,,,
100005,S00089,VAMC Opioid Treatment Program,,"38th and Woodland Ave., Bldg. 3",Philadelphia,PA,19104,39.94819001,-75.19998601,215-823-5809,Certified,2006-02-02,False,,2019-12-24,,,
100006,S00025,North Philadelphia Health System-Goldman,The Behavioral Wellness Center at Girard-Goldman Methadone Clinic,Girard Medical Center 801 W. Girard Avenue,Philadelphia,PA,19122,39.97137201,-75.14977598,215-787-2080,Certified,2006-06-15,False,,2019-12-24,,,
100007,S00053,"The Consortium, Inc.",Drug Abuse Rehabilitation Program (D.A.R.P.),451 University Ave.,Philadelphia,PA,19104,39.94826101,-75.197984,215-596-8000,Certified,2004-02-01,False,,2019-12-24,,,
100008,S00060,Merakey Parkside Recovery,,5000 Parkside Ave.,Philadelphia,PA,19131,39.979682,-75.21979103,215-879-6116,Certified,2004-01-01,False,,2019-12-24,,,
100009,S00016,Kirkbride Center - A Better Way,,111 North 49th St.,Philadelphia,PA,19139,39.96135098,-75.21802798,215-471-2600,Certified,2005-10-24,False,,2019-12-24,,,
100010,S00011,Mercy Philadelphia Hospital,,501 South 54th St.,Philadelphia,PA,19143,39.95241393,-75.23024877,215-748-9391,Certified,2003-07-16,True,Source removed record,2019-12-24,2021-03-02,No longer listed: 2021-07-09. Facility status in flux 2020/2021: https://whyy.org/articles/penn-med-phmc-lead-coalition-to-save-mercy-philadelphia-hospital/,
100011,S00033,"Northeast Treatment Centers, Inc.",NET Steps,2205 Bridge St.,Philadelphia,PA,19137,40.01062899,-75.06910503,215-743-6150,Certified,2004-05-06,False,,2019-12-24,,,
100012,S00056,Achievement Through Counseling and Treatment (ACT 1),,5820 Old York Rd.,Philadelphia,PA,19141,40.04204101,-75.14472698,215-276-8400,Certified,2005-09-12,False,,2019-12-24,,,
100013,S00091,Kensington Hospital Outpatient Treatment Program,Kensington Hospital Outpatient Treatment Program,2100 North Front Street,Philadelphia,PA,19122,39.98176,-75.13308099,215-426-8100,Certified,2006-08-01,False,,2019-12-24,,,
100014,S00061,Merakey Parkside Recovery,Merakey Parkside Recovery- Germantown,5429 Germantown Ave.,Philadelphia,PA,19144,40.03397502,-75.17134698,215-754-0246,Certified,2008-04-14,False,,2019-12-24,,,
100015,S00064,"Northeast Treatment Centers, Inc",NET Steps II,7520 State Road,Philadelphia,PA,19136,40.029456,-75.02666401,267-348-3550,Certified,2016-11-18,False,,2019-12-24,,,
100016,S00058,John F. Kennedy Drug Treatment Clinic,,907 North Broad St.,Philadelphia,PA,19123,39.970435,-75.15917604,215-235-5520,Certified,2004-02-01,False,,2019-12-24,,,
100017,S00104,The Healing Way,THW Group - The Healing Way,7900 Frankford Avenue,Philadelphia,PA,19136,40.041112,-75.02990002,215-335-3520,Certified,2016-02-16,False,,2019-12-24,,,
100018,S00071,SOAR,,9150 Marshall Street,Philadelphia,PA,19115,40.07245022,-75.03190542,215-464-4450,Certified,2008-11-07,False,,2019-12-24,,,
100019,S00063,"Northeast Treatment Centers, Inc",North East Treatment Centers,499 North 5th Street,Philadelphia,PA,19123,39.96048776,-75.14671186,215-451-7000,Certified,2017-12-20,False,,2019-12-24,,,
100020,S00030,"Self Help Movement, Inc.",,2600 Southampton Road,Philadelphia,PA,19116,40.11983905,-74.99525677,215-677-7778,Provisional,,False,,2020-09-09,,,
100021,S00117,"Men & Women for Human Excellence, Inc. (MWFHE) Opioid Treatment Program (MWFHE - OTP)",,2603 W Cecil B. Moore Avenue,Philadelphia,PA,19121,39.98140402,-75.17742604,267-639-9265,Provisional,,False,,2021-01-16,,,
100022,S00014,Kensington Hospital,,136 W. Diamond Street,Philadelphia,PA,19122,39.98182741,-75.13466693,215-426-8100,Provisional,,False,,2021-07-09,,New sometime between 2021-03-02 and 2021-07-09,
100101,S00233,"Pinnacle Treatment Centers PA-V, LLC",Pinnacle Treatment Services of Aliquippa,400 Woodlawn Dr.,Aliquippa,PA,15001,40.62064898,-80.24167596,724-857-9640,Certified,2011-01-05,False,Too far from Philadelphia?,2019-12-24,,,
100102,S00234,White Deer Run,,360 White Deer Run Road,Allenwood,PA,17810,41.100596,-76.92561704,800-255-2335,Certified,2006-04-04,False,Too far from Philadelphia?,2019-12-24,,,
100103,S00235,Dolminis Methadone Maintenance Program,,2 Sellers Drive,Altoona,PA,16601,40.46100327,-78.40794378,814-204-0059,Certified,2007-11-26,False,Too far from Philadelphia?,2019-12-24,,,
100104,S00236,"Pennsylvania Care, LLC",Miners Medical,43 South Main Street,Ashley,PA,18706,41.21154202,-75.90168198,570-822-5145,Certified,2011-04-07,False,Too far from Philadelphia?,2019-12-24,,,
100105,S00237,Lehigh County Center for Recovery,,1620 Riverside Drive,Bethlehem,PA,18015,40.61220899,-75.41315198,855-256-3285,Certified,2020-11-19,False,Too far from Philadelphia?,2019-12-24,,,
100106,S00238,New Directions Treatment Services,,2442 Broadhead Rd.,Bethlehem,PA,18020,40.67822252,-75.36702245,610-758-8011,Certified,2003-12-01,False,Too far from Philadelphia?,2019-12-24,,,
100107,S00239,MedMark Treatment Centers - Blairsville PA,MedTech Rehab,1984 Route 22,Blairsville,PA,15717,40.44926562,-79.18390328,724-459-4884,Certified,2011-10-13,False,Too far from Philadelphia?,2019-12-24,,,
100108,S00240,"Foundations Medical Services, LLC",,160 Hindman Road,Butler,PA,16001,40.881016,-79.94510302,724-431-2006,Certified,2007-04-26,False,Too far from Philadelphia?,2019-12-24,,,
100109,S00241,ARS of Pennsylvania LLC,,3433 Trindle Road,Camp Hill,PA,17011,40.23670199,-76.93858803,717-761-4500,Certified,2016-12-07,False,Too far from Philadelphia?,2019-12-24,,,
