oid,site_id,name1,coe,ref_address,street1,street2,city,state_usa,zipcode,latitude,longitude,phone1,asm,ba,name_ba,mat_info,bu,bui,nu,vti,mu,additional_info,phone2,walk_in_hours,wih_induction,oit,op,mhs,ccc,hs,pw,male,sp,ales,f47,f92,f17,f44,ai01,ai02,ai03,ai04,ai05,archival_only,why_hidden,date_firstfind,date_lastfind,data_review,date_update
100001,S00046,ADDICTION MEDICINE AND HEALTH ADVOCATES (AMHA),,"928 MARKET ST, 19107",928 Market St,,Philadelphia,PA,19107,39.95140098,-75.1560535,215-923-4202,,,,MMT induction,,,,,True,"IOP/OP 6A-4P (M-F), 6A-11:45A (Sat. & Sun)",,,,True,True,,,,,,,,,,,,,,,,,False,,2020-02-28,,"Summer 2021 removed Spanish & Child care, added hours (though not walk-in)",
100002,S00047,ASOCIACION PUERTORRIQUENOS EN MARCHA (APM),,"4301 RISING SUN AVE, PHILA, 19140",4301 Rising Sun Ave,,Philadelphia,PA,19140,40.015901,-75.12910001,267-296-7220,,,,Buprenorphine induction / Vivitrol maintenance,True,True,True,,,IOP/OP; MH tx on-site 8A-5P (M-F) | Spanish,,,,True,True,True,,,,,True,,,,,,,,,,,False,,2020-02-28,,"Summer 2021 mat_info added Vivitrol, additional_info added hours (though not walk-in)",
100003,S00048,CASA DE CONSEJERIA Y SALUD INTEGRAL,,"213 W ALLEGHENY AVE, 19140",213 West Allegheny Ave,,Philadelphia,PA,19133,39.999377,-75.13368499,215-634-3259,,,,Buprenorphine induction,True,True,,,,IOP,,,,True,,,,,,,,,,,,,,,,,,True,Source removed listing,2020-02-28,2021-08-25,zipcode corrected from 19140 to 19133 per SAMHSA entry & Google Maps,
100004,S00049,CHANCES- PHILA HEALTH MGMT CORP (PHMC),,"1200 CALLOWHILL ST, SUITE 102, 19123",1200 Callowhill St,Suite 102,Philadelphia,PA,19123,39.95904123,-75.1583643,215-825-8220,,,,Buprenorphine induction / Vivitrol maintenance,True,True,True,,,"OP/IOP, 8:30-5P (M-F), Childcare Available | Spanish, co-located with FQHC-Pharmacy avail.",,,,True,True,,True,,,,True,,,,,,,,,,,False,,2020-02-28,,Summer 2021 added Vivitrol and expanded additional_info,
100005,S00051,COMHAR,,"2055 E. ALLEGHENY AVE, 19134",2055 East Allegheny Ave,,Philadelphia,PA,19134,39.99300201,-75.10982297,215-427-5800,,,,Buprenorphine induction / Vivitrol maintenance,True,True,True,,,8:30A-8P (M-Th) 8:30-5P F | OP; MH tx on-site | Registration: (267) 861-4382,267-861-4382,,,,True,True,,,,,,,,,,,,,,,,False,,2020-02-28,,Summer 2021 clarified this location does not have Spanish and added hours (though not walk-in),
100006,S00052,COMHAR,,"2600 N AMERICAN ST, 19133",2600 North American St,,Philadelphia,PA,19133,39.99021499,-75.13687397,215-739-2669,,,,Buprenorphine induction / Vivitrol maintenance,True,True,True,,,"8:30A-8P (M-F), 9A-5P (Sat) | OP; MH tx on site | Spanish | Registration: 267-861-4382",267-861-4382,,,,True,True,,,,,True,,,,,,,,,,,False,,2020-04-13,,Summer 2021 added hours (though not walk-in) and confirmed Spanish at this location,
100007,S00053,THE CONSORTIUM,,"451 S. UNIVERSITY AVE, 19104",451 South University Ave,,Philadelphia,PA,19104,39.94826101,-75.197984,215-596-8000,,,,"MMT induction | Vivitrol, Same Day Induction",,,True,True,True,IOP/OP; MH tx on-site | Spanish; Child care on site,,[unspecified],True,True,True,True,True,,,,True,,,,,,,,,,,False,,2020-02-28,,Summer 2021 added same-day induction for Vivitrol,
100008,S00054,DREXEL MEDICINE CARING TOGETHER CLINIC,,"4700 WISSAHICKON AVE, 19144",4700 Wissahickon Ave,,Philadelphia,PA,19144,40.01538098,-75.174055,215-967-2130,,,,Buprenorphine induction / Vivitrol maintenance,True,True,True,,,"OP, Females only, Child care on site",,Same Day Induction M-W & most Thursday before 12:00P (Except MMT),True,,True,,True,,,False,,,,,,,,,,,,False,,2020-02-28,,Summer 2021 specified induction for Buprenorphine and added walk-in hours for same-day induction,
100009,S00001,GAUDENZIA OUTREACH I,,"1306 SPRING GARDEN ST, 19123",1306 Spring Garden St,,Philadelphia,PA,19123,39.961763,-75.15979999,215-238-2150,True,True,Gaudenzia,Vivitrol,,,True,,,"IOP/OP; MH tx on-site, 8A-9P (M-F) | Assessments 8A-11A 7 days/wk | Spanish, Russian, Mandarin, Cambodian, Vietnamese, ASL, Hindi, Arabic, Malaysian",,,,True,True,True,,,,,True,True,,True,True,True,,,,,,False,,2020-02-28,,[_] Should bu become True? (see Assessment directory entry [page 2] for same address) | Summer 2021 added assessment hours and languages (but did not add Buprenorphine despite page 2),
100010,S00003,GAUDENZIA-DRC,,"3200 HENRY AVE, 19129",3200 Henry Ave,,Philadelphia,PA,19129,40.00934501,-75.18120804,215-991-9700,,True,DRC,Vivitrol,,,True,True,,"IOP/ OP | Gender specific groups, MOUs with Impact Veterans Services, Community Corrections Facilities, Nicetown Community Development Center",,8A-8P (M-F) 8A-4P (SAT),True,True,True,,,,,,,,,,,,,,,,,False,,2020-02-28,,Summer 2021 expanded additional_info and added yellow for Same-day induction during walk-in hours,
