oid,site_id,name1,name2,name3,website1,website2,phone1,phone2,phone3,street1,street2,city,state_usa,zipcode,latitude,longitude,bu,nu,mu,otp,mat_avail,asm,ba,ref_notes,hh,hwm,rhl,rhs,wm,uo,fqhc,prim_care,telehealth,md,mc,oi,pa,oit,op,ta,hs,mhs,ccc,dvh,pw,ad,se,gl,sp,ah,fem,male,archival_only,why_hidden,data_review,date_update
2,S00029,CATCH (Citizens Acting Together Can Help),River’s Bend Addiction Treatment Unit,,https://catchinc.com/services/drug-alchohol/riversbend-addiction-treatment-unit/,,215-735-7435,215-755-6112,,2401 Penrose Avenue,2nd Floor,Philadelphia,PA,19145,39.90916,-75.1883,,,,,Unclear,,Yes,"For bed availability, see: ""Riversbend""",False,False,False,True,False,,,,,,,,,,,Yes,,,,,,,,,,,,,False,,,
29,S00006,RHD,Family House Now,,https://www.rhd.org/program/family-house-now-new-options-for-women/,,215-878-8616,,,1020 North 48th Street,,Philadelphia,PA,19131,39.97091,-75.2173,,,,,Yes,,Yes,"For bed availability, see: ""Family House Now""",False,False,True,True,False,,,,,,,,,,,,,,Yes,,,,,,,,Yes,No,False,,,
30,S00007,Firetree Ltd.,Conewago Place (Hummelstown),,https://www.firetree.com/locations/conewago-place/,,717-533-0428,888-347-3873,,424 Nye Road,,Hummelstown,PA,17036,40.23965,-76.6483,,,,,Yes,,Yes,"For bed availability, see: ""Firetree/Conewago Hummelstown""",False,False,True,True,False,,,,,,,,,,,Yes,,,,,,,,,,,No,Yes,False,,,
31,S00008,Firetree Ltd.,Conewago Pottsville,,https://www.firetree.com/locations/conewago-pottsville/,,570-628-5835,888-347-3873,,202 South Centre Street,,Pottsville,PA,17901,40.68398,-76.1935,,,,,Yes,,Yes,"For bed availability, see: ""Firetree/Conewago Pottsville""",False,False,False,True,True,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,False,,,
32,S00009,"Good Friends, Inc.",,,https://goodfriendsinc.org,,215-736-2861,,,868 West Bridge Street,,Morrisville,PA,19067,40.20093,-74.7921,,,,,Unclear,,Yes,"For bed availability, see: ""Good Friends""",True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,No,Yes,False,,,
33,S00010,Penn Medicine,HUP Cedar,,https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/hospital-of-the-university-of-pennsylvania-cedar-ave,https://www.trinityhealthma.org/location/mcmc-mercy-philadelphia,215-748-9000,,,501 South 54th Street,,Philadelphia,PA,19143,39.95241,-75.2302,,,,,Yes,,Yes,"For bed availability, see: ""HUP Cedar""",False,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
34,S00015,Keystone Center,,,https://keystonecenter.net/,,610-876-9000,,,2001 Providence Avenue,,Chester,PA,19013,39.86595,-75.3606,Yes,Yes,No,No,Yes,,Yes,"For bed availability, see: ""Keystone Center""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
35,S00017,"Libertae, Inc.",Freedom in Recovery,,https://www.libertae.org/,,215-639-8681,,,5245 Bensalem Boulevard,,Bensalem,PA,19020,40.11437,-74.9085,,,,,Unclear,,Yes,"For bed availability, see: ""Libertae""",True,False,True,False,False,,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,False,,,
36,S00026,Nuestra Clínica Residential,Spanish American Civic Association,,https://sacapa.org/human-services/nuestra-clinica/,,717-397-6267,717-431-1435,,50 East New Street,,Lancaster,PA,17602,40.04891,-76.306,,,,,Unclear,,Yes,"For bed availability, see: ""Nuestra Clinica Residential""",False,False,True,True,False,,,,,Yes,,,,,,Yes,,,,,,,,,Yes,,No,Yes,False,,,
37,S00004,Eagleville Hospital,,,https://www.eagleville.org/,,610-539-6000,800-255-2019,610-539-6000 x1,100 Eagleville Road,,Eagleville,PA,19403,40.15627,-75.4148,,,,Yes,Yes,,Yes,"For bed availability, see: ""Eagleville""",False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
38,S00028,"Re-Enter, Inc.",,,https://philadelphia.pa.networkofcare.org/mh/services/agency.aspx?pid=REENTERINCemclasscbhPhillyCBHem_209_2_0,,215-222-2770 x106 (24 Hours),,,3331 Powelton Avenue,,Philadelphia,PA,19104,39.96049,-75.1908,,,,,Unclear,,Yes,"For bed availability, see: ""Re-Enter""",False,False,True,True,False,,,,,Yes,,,,,,,,,,,,,,,,,No,Yes,True,Data needs review,"Website has just blank page ""Coming soon""",
39,S00019,Malvern Treatment Centers,Philadelphia Inpatient,Constitution Health Plaza,https://www.malverntreatment.com/malvern-philadelphia/,,610-625-8376,,,1930 South Broad Street,3rd Floor,Philadelphia,PA,19145,39.92632,-75.1703,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,Opened 2021-02-22,
40,S00020,Malvern Treatment Centers,Malvern Inpatient,,https://www.malverntreatment.com/malvern-pa/,,610-625-8376,,,940 West King Road,,Malvern,PA,19355,40.02925,-75.5442,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,Address is only for GPS (mail: P.O. Box 356),
41,S00021,Malvern Treatment Centers,Bethlehem Outpatient,,https://www.malverntreatment.com/allentown-pa/,,610-625-8376,,,2092 Stefko Boulevard,,Bethlehem,PA,18017,40.64191,-75.3463,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
42,S00022,Malvern Treatment Centers,Pottstown Outpatient,,https://www.malverntreatment.com/pottstown-pa/,,610-625-8376,,,1566 Medical Drive,Suite 201,Pottstown,PA,19464,40.23834,-75.6135,,,,,Yes,,Yes,"For bed availability, see: ""Malvern Treatment Centers (7278)""",False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,
43,S00034,Journey of Hope Project,,,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,https://www.journeyofhopeproject.net/,,,,,,Philadelphia,PA,,,,,,,,Unclear,,Yes,"For bed availability, see: ""Journey of Hope Project""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
44,S00035,Journey of Hope Project,WomanSpace Philadelphia,,https://www.rhd.org/program/womanspace-philadelphia/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-844-2400,,,6400 Germantown Avenue,,Philadelphia,PA,19119,40.04581,-75.1825,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,False,,,
45,S00036,Journey of Hope Project,Morris Home,,https://www.rhd.org/morrishome/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-729-3045,,,5037 Woodland Avenue,,Philadelphia,PA,19143,39.93941,-75.2152,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
46,S00037,Journey of Hope Project,RHD New Start II (3C),,https://www.rhd.org/program/new-start-ii-at-jackson-street/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-537-8236,,,5000 Jackson Street,,Philadelphia,PA,19124,40.01557,-75.0742,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
47,S00038,Journey of Hope Project,RHD New Start I,,https://www.rhd.org/program/new-start-i/,https://dbhids.org/about/organization/office-of-mental-health/office-of-addiction-services/the-journey-of-hope-project/,215-228-2323,,,3653 North 15th Street,,Philadelphia,PA,19140,40.00921,-75.1527,,,,,Unclear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
48,S00040,Friends Hospital,,,https://friendshospital.com/,,215-831-2600,800-889-0548,215-831-4600,4641 Roosevelt Boulevard,,Philadelphia,PA,19124,40.02571,-75.1024,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
49,S00041,Einstein Medical Center Philadelphia,,,https://www.einstein.edu/einstein-medical-center-philadelphia,,215-951-8300,215-456-7890,,5501 Old York Road,,Philadelphia,PA,19141,40.0374,-75.1436,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
50,S00042,Penn Medicine,Hall Mercer Community Mental Health Assessment Center,,https://www.med.upenn.edu/recovery/,,215-829-5249 (open 24 hours),215-829-5433,,245 South 8th Street,,Philadelphia,PA,19106,39.94682,-75.1542,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
51,S00043,Temple Health,Temple University Hospital - Episcopal Campus,Crisis Response Center,https://www.templehealth.org/services/psychiatry/crisis-response-center,https://www.templehealth.org/locations/episcopal-campus-tuh,215-707-2577,215-707-1200,,100 East Lehigh Avenue,,Philadelphia,PA,19125,39.99,-75.1292,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
52,S00044,Philadelphia Children’s Crisis Response Center,,,https://www.philachildrenscrc.com/,,215-878-2600,877-287-4620,,3300 Henry Avenue,"Falls Two Building, 3rd Floor",Philadelphia,PA,19129,40.01177,-75.1846,No,No,No,,Unclear,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,False,,,
53,S00047,APM,Asociación Puertorriqueños en Marcha,,https://apmphila.org/,,267-296-7220,267-296-7200,267-296-7223,4301 Rising Sun Avenue,,Philadelphia,PA,19140,40.0159,-75.1291,Yes,No,No,No,Yes,,,,,,,,,,,,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,False,,,
