rec_id,site_id,date_firstfind,date_lastfind,name1,name2,street1,street2,city,state_usa,zip5,zip4,tele,county,phone,intake_prompt,phone_intake1,phone_intake2,website,latitude,longitude,type_facility,sa,bu,bum,ub,bwn,bwon,bmw,beri,bsdm,db_field,bmo,mo,mu,meth,mm,mmw,dm,nu,un,vtrl,nxn,rpn,otp,omb,otpa,pain,ulc,moa,odtx,dt,ubn,hh,noop,nmoa,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi_field,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,add_field,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40,mat_bupe,mat_ntrex,mat_mtd,mat_misc,mat_avail
1016,S00031,,1/16/2021,Al-Assist,Behavioral Healthcare Center,1401 South 4th Street,,Philadelphia,PA,19147,,0,Philadelphia,215-339-1070,,,,www.gphainc.org,39.9307373030932,-75.1515605696531,SA,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,True,True,True,True,True,,,,,True,,,,,,,True,,,,,,,,,,,,True,True,,,True,,True,,,,True,True,True,True,True,,,,True,,True,True,True,,,,,,,,,True,True,,,,,,True,,,,,True,True,True,True,True,True,,True,True,True,True,,,True,,True,,,True,True,,,True,,,True,True,,True,True,True,True,,True,True,,True,True,True,,,True,True,,True,True,True,,True,True,True,True,True,True,True,,,True,True,True,True,True,,True,,True,True,True,,,,True,,True,True,,True,True,True,True,,True,True,True,,,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
32,S00045,9/8/2020,1/16/2021,Public Health Management Corp,Chances,1200 Callowhill Street,Suite 102,Philadelphia,PA,19123,,0,Philadelphia,215-923-0218 x5231,Intakes,215-923-0218 x5228,215-923-0751,www.phmc.org,39.959067,-75.158713,SA,True,True,,True,True,,,True,,,,,,,,,,True,True,True,True,True,,True,,,,True,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,,True,True,,,,,,,,True,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,,,,,,,,True,True,,,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,,True,True,True,True,True,True,,True,,,True,True,,True,,True,True,True,True,,,True,,True,True,,True,,,,,,,True,,,,True,,,True,,,,,,True,,,,,,,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
12,S00048,9/8/2020,1/16/2021,Pathways to Recovery,PHMC,2301 East Allegheny Avenue,2nd Floor,Philadelphia,PA,19134,,True,Philadelphia,215-731-2402,,,,www.phmc.org,39.9896847,-75.1064647,SA,True,True,True,True,True,True,True,,,True,,,,,,,,True,True,True,True,True,,True,,True,True,,True,True,,,,,True,True,True,True,True,,,True,,,True,,,,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,True,,,,,,True,,True,True,,,,,,,,,,,,,,,,True,,,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,True,,,,,,,True,,,,,,,True,,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
23,S00048,9/8/2020,1/16/2021,Beacon Point Recovery Center,,2301 East Allegheny Avenue,,Philadelphia,PA,19134,,True,Philadelphia,215-337-2950,,,,,39.9896847,-75.1064647,SA,True,True,,True,True,True,,True,True,True,,,,,,,,True,True,True,True,,,,,,,,True,True,,,,,True,True,True,True,True,,True,,True,True,,True,True,True,,,,,True,,,,,,,,,,,True,,,,,,,,,,True,,,True,True,,,,,,,True,True,,,,,,,,,True,True,,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,True,,,True,,,,,,,True,,,,,,True,True,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
58,S00064,9/8/2020,1/16/2021,Asociacion Puertorriquenos en,Marcha Inc,4301 Rising Sun Avenue,,Philadelphia,PA,19140,,0,Philadelphia,267-296-7220,,,267-296-7223,www.apmphila.org,40.015968,-75.129542,SA,True,True,True,True,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,,True,,,,,True,,,True,,,,,,,,,,True,True,,,,,,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,True,,True,True,True,,True,,True,True,True,True,,,,True,True,True,,True,True,,True,,True,True,True,True,True,,True,,,,,,True,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
57,S00065,1/16/2021,1/16/2021,Asociación Puertorriqueños en Marcha,,2921 North 5th Street,,Philadelphia,PA,19133,2800,True,Philadelphia,215-259-3373,,,,,39.995666,-75.1391359,SA,True,True,True,True,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,,True,,,,,True,,,True,,,,,,,,,,True,True,,,,,,True,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,True,True,,True,True,True,True,,True,,True,True,True,,True,,True,,True,True,,,,True,True,True,,True,True,,True,,True,True,True,True,True,,True,,,,,,True,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
63,S00068,,1/16/2021,Casa de Consejeria y Salud Integral,House of Counseling,616 West Lehigh Avenue,,Philadelphia,PA,19133,,0,Philadelphia,215-501-7629,,,,www.casacares.net,39.9922578,-75.1428212,SA,True,True,True,True,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,,,,True,True,True,,,,,True,,,,True,,,,,,True,,True,,True,True,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,True,True,True,,True,,,,,,,True,True,True,,True,True,,,True,,True,,,,True,True,,,,True,True,True,,True,,,True,,True,,True,,,,True,,,,,,,True,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
7,S00070,9/8/2020,1/16/2021,John F Kennedy Behavioral Health,,907 North Broad Street,,Philadelphia,PA,19123,,0,Philadelphia,215-235-5520,,,,,39.9704202,-75.1591668,SA,True,True,True,,True,,,,,,True,True,True,True,True,,,True,True,,True,,True,True,True,,,,,,,,,,True,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,True,True,,True,,,,,,,,,True,,True,True,True,True,,True,True,True,True,,,True,,,True,True,True,True,,,True,,,,,,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,,,True,,True,,,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,True,,True,,,True,,,,,,,,True,,,,,,0,0,0,0,0
66,S00071,,1/16/2021,John F Kennedy Behavioral Health,Walk In Clinic,112 North Broad Street,,Philadelphia,PA,19102,,0,Philadelphia,215-568-0860 x3352,,,,www.jfkbhc.org,39.9549413,-75.1634305,SA,True,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,,,,,True,True,True,True,,,,True,,,True,,,,,,True,True,,,,,,,,,,,,True,True,True,,,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,True,True,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,True,True,,,True,True,,True,True,,True,True,True,True,True,True,,True,,,,True,,True,True,True,True,,,,True,True,,,True,,,True,,True,,True,True,True,,True,,True,,,,,,,True,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
11,S00074,9/8/2020,1/16/2021,Caring Together Addictions and,Mental Health Program for Women,4700 Wissahickon Avenue,"Building C, Suite 102",Philadelphia,PA,19144,,True,Philadelphia,215-967-2130,,,,www.drexelmed.edu/caringtogether,40.0159527,-75.1724136,SA,True,True,True,True,True,True,True,True,,True,,,,,,,,True,True,True,True,True,,True,,,True,True,True,True,,,,,True,True,True,True,True,True,,,,,True,,,,True,,,True,,,,,,,,,,,,True,True,True,,,,,,,,True,True,True,,True,,,True,True,,,,True,,,,,True,,,,True,,,True,True,True,,,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,,,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,,True,,,True,,,True,True,,,True,,,,True,,,,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
