DB:,site_id,url_site,phone1,phone2,street_address,address_suppl,zip5,name_system,name_site,hfp_fqhc_id,samhsa_ftloc_id,samhsa_otp_id,dbhids_tad_id,archival_only,why_hidden,data_review_notes,latitude,longitude,mat_avail,mat_bupe,mat_mtd,mat_ntrex,fqhc,primary_care,pay_medicaid,pay_private_insur,pay_medicare,pay_military_insur,pay_assistance_avail,pay_self_cash,pay_otherstate_insur,pay_fed_funding,pay_none_accepted
1,S00001,https://www.phila.gov/departments/department-of-public-health/,215-685-4758,,1101 Market St,8th Floor,19107,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",1,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
2,S00002,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-1803,,1700 South Broad St,Suite 201,19145,City of Philadelphia Public Health,District Health Center #2,2,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
3,S00003,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7504,,555 South 43rd St,,19104,City of Philadelphia Public Health,District Health Center #3,3,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
4,S00004,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7601,,4400 Haverford Ave,,19104,City of Philadelphia Public Health,District Health Center #4,4,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
5,S00005,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2933,,1900 North 20th St,,19121,City of Philadelphia Public Health,District Health Center #5,5,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
6,S00006,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-3803,,301 West Girard Ave,,19123,City of Philadelphia Public Health,District Health Center #6,6,NULL,NULL,NULL,,,"PDPH and HFP websites both list 301 for street_address, but 321 is used in most providers' data (Google Maps recognizes both)",,,,,,,,,,,,,,,,,
7,S00007,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-5701,,131 East Chelten Ave,,19144,City of Philadelphia Public Health,District Health Center #9,7,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
8,S00008,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-0639,,2230 Cottman Ave,,19149,City of Philadelphia Public Health,District Health Center #10,8,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
9,S00009,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2401,,2840 West Dauphin St,,19132,City of Philadelphia Public Health,Strawberry Mansion Health Center,9,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
10,S00010,https://dvch.org/,215-235-9600,,1412 Fairmount Ave,2nd Floor,19130,"Delaware Valley Community Health, Inc. (DVCH)",Main Admin Office,10,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
11,S00011,https://dvch.org/fairmount-primary/,215-235-9600,,1412 Fairmount Ave,,19130,"Delaware Valley Community Health, Inc. (DVCH)",Fairmount Primary Care Center,11,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
12,S00012,https://dvch.org/fairmount-primary-girard/,215-827-8010,,801 West Girard Ave,,19122,"Delaware Valley Community Health, Inc. (DVCH)",Fairmount Primary Care Center at Girard Medical Center,12,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
13,S00013,https://dvch.org/fairmount-primary-horizon-house/,215-222-2466,,120 South 30th St,,19104,"Delaware Valley Community Health, Inc. (DVCH)",Fairmount Primary Care Center at Horizon House,13,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
14,S00014,https://dvch.org/fairmount-primary-sharon-hill/,610-278-7381,,800 Chester Pike,,19079,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Sharon Hill,14,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
15,S00015,https://dvch.org/maria-de-los-santos-health-center/,215-291-2500,,401 West Allegheny Ave,,19133,"Delaware Valley Community Health, Inc. (DVCH)",Maria de los Santos Health Center,15,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
16,S00016,https://dvch.org/maria-de-los-santos-womens-health/,215-207-0522,,400 West Allegheny Ave,Unit B-5,19133,"Delaware Valley Community Health, Inc.",Maria de los Santos Women’s Health Center,16,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
17,S00017,https://dvch.org/norristown-regional-health/,610-278-7787,,1401 DeKalb St,,19401,"Delaware Valley Community Health, Inc.",Norristown Regional Health Center,17,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
18,S00018,https://dvch.org/parkview-health-center/,215-537-7695,,841 East Hunting Park Ave,Suite 201,19124,"Delaware Valley Community Health, Inc. (DVCH)",Parkview Health Center,18,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
19,S00019,https://esperanzahealth.com/,215-302-3150,,4417 North 6th St,,19140,Esperanza Health Center,Main Admin Office,19,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
20,S00020,https://esperanzahealth.com/,215-302-3600,215-302-3150,4417 North 6th St,,19140,Esperanza Health Center,Hunting Park Site,20,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
21,S00021,https://esperanzahealth.com/patients/our-locations/,215-302-3600,215-831-1100,861 East Allegheny Ave,,19134,Esperanza Health Center,Kensington Site,21,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
22,S00022,https://esperanzahealth.com/patients/our-locations/,215-302-3600,215-221-6633,2940 North 5th St,,19133,Esperanza Health Center,Fifth Street Site,22,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
23,S00023,https://esperanzahealth.com/,215-302-3600,,3156 Kensington Ave,,19134,Esperanza Health Center,Kensington & Allegheny,23,NULL,NULL,NULL,True,Site closed,Moved to 861 East Allegheny Ave in 2020,,,,,,,,,,,,,,,,,
24,S00024,https://www.fpcn.com/,215-298-0405,,4700 Wissahickon Ave,"Building D, Suite 118",19144,The Family Practice & Counseling Network (FPCN),Main Admin Office,24,NULL,NULL,NULL,True,Not a practice site,,,,,,,,,,,,,,,,,,
