ref_id,site_id,name_short,name_system,name_site,website,admin_office,street_address,address_suppl,city,state_usa,zip5,phone1,phone2,why_hidden,data_review,date_firstfind,date_lastfind
1,S00001,CPPH: Admin,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",http://www.phila.gov/health/AmbulatoryHealth/,True,1101 Market St,8th Floor,Philadelphia,PA,19107,215-685-4758,,Not a practice site,Use updated website (2021 redirected URL for PDPH) in sites_all: https://www.phila.gov/departments/department-of-public-health/,2/23/2021,2/23/2021
2,S00002,CPPH: Health Ctr #2,City of Philadelphia Public Health,District Health Center #2,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,1700 South Broad St,Unit 201,Philadelphia,PA,19145,215-685-1803,,,,3/1/2020,2/23/2021
3,S00003,CPPH: Health Ctr #3,City of Philadelphia Public Health,District Health Center #3,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,555 South 43rd St,,Philadelphia,PA,19104,215-685-7504,,,,3/1/2020,2/23/2021
4,S00004,CPPH: Health Ctr #4,City of Philadelphia Public Health,District Health Center #4,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,4400 Haverford Ave,,Philadelphia,PA,19104,215-685-7601,,,Corrected: ZIP typo from 19121 to 19104,3/1/2020,2/23/2021
5,S00005,CPPH: Health Ctr #5,City of Philadelphia Public Health,District Health Center #5,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,1900 North 20th St,,Philadelphia,PA,19121,215-685-2933,,,Corrected: ZIP typo from 19130 to 19121,3/1/2020,2/23/2021
6,S00006,CPPH: Health Ctr #6,City of Philadelphia Public Health,District Health Center #6,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,321 West Girard Ave,,Philadelphia,PA,19123,215-685-3800,,,"Corrected: street_address typo corrected from ""301"" to ""321"" (West Girard Ave)",3/1/2020,2/23/2021
7,S00007,CPPH: Health Ctr #9,City of Philadelphia Public Health,District Health Center #9,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,131 East Chelten Ave,,Philadelphia,PA,19144,215-685-5701,,,,3/1/2020,2/23/2021
8,S00008,CPPH: Health Ctr #10,City of Philadelphia Public Health,District Health Center #10,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,2230 Cottman Ave,,Philadelphia,PA,19149,215-685-0639,,,,3/1/2020,2/23/2021
9,S00009,CPPH: Strawberry Mansion,City of Philadelphia Public Health,Strawberry Mansion Health Center,https://beta.phila.gov/services/mental-physical-health/city-health-centers/,False,2840 West Dauphin St,,Philadelphia,PA,19132,215-685-2400,,,,3/1/2020,2/23/2021
10,S00010,DVCH: Admin,"Delaware Valley Community Health, Inc. (DVCH)",Main Admin Office,http://www.dvch.org/,True,1412 Fairmount Ave,2nd Floor,Philadelphia,PA,19130,215-235-9600,,,"Corrected: street_address from ""1420"" to ""1412"" and ""2nd Floor"" added (per DVCH website)",2/23/2021,2/23/2021
11,S00011,DVCH: FPCC,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center,http://dvch.org/,,1412 Fairmount Ave,,Philadelphia,PA,19130,215-235-9600,,,,3/1/2020,2/23/2021
12,S00012,DVCH: FPCC-GMC,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Girard Medical Center,http://dvch.org/,False,801 West Girard Ave,,Philadelphia,PA,19122,215-827-8010,,,,3/1/2020,2/23/2021
13,S00013,DVCH: FPCC-HH,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Horizon House,http://dvch.org/,False,5901 Market St,,Philadelphia,PA,19139,215-222-2466,,,"Updated: location on 2021 DVCH website has ""5901 Market St"" (ZIP 19139) instead of ""120 South 30th St"" (ZIP 19104)",3/1/2020,2/23/2021
14,S00014,DVCH: FPCC-SH,"Delaware Valley Community Health, Inc.",Fairmount Primary Care Center at Sharon Hill,https://dvch.org/fairmount-primary-sharon-hill/,False,800 Chester Pike,,Sharon Hill,PA,19079,610-278-7381,,,Listing ADDED: from DVCH website (not specified on HFP webpage),2/23/2021,2/23/2021
15,S00015,DVCH: MDLS,"Delaware Valley Community Health, Inc.",Maria de los Santos Health Center,http://dvch.org/,False,401 West Allegheny Ave,,Philadelphia,PA,19133,215-291-2500,,,,3/1/2020,2/23/2021
16,S00016,DVCH: MDLS WHC,"Delaware Valley Community Health, Inc.",Maria de los Santos Women’s Health Center,https://dvch.org/maria-de-los-santos-womens-health/,False,400 West Allegheny Ave,Unit B-5,Philadelphia,PA,19133,215-207-0522,,,Listing ADDED: from DVCH website (not specified on HFP webpage),2/23/2021,2/23/2021
17,S00017,DVCH: NRHC,"Delaware Valley Community Health, Inc.",Norristown Regional Health Center,https://dvch.org/norristown-regional-health/,False,1401 DeKalb St,,Norristown,PA,19401,610-278-7787,,,,2/23/2021,2/23/2021
18,S00018,DVCH: Parkview OB/GYN,"Delaware Valley Community Health, Inc.",Parkview Health Center,http://dvch.org/,False,841 East Hunting Park Ave,2nd Floor,Philadelphia,PA,19124,215-537-7695,,,"Updated: address_suppl replaced ""Suite 201"" with ""2nd Floor"" to match 2021 website",3/1/2020,2/23/2021
19,S00019,Esperanza: Admin,Esperanza Health Center,Main Admin Office,http://www.esperanzahealthcenter.org/,True,4417 North 6th St,,Philadelphia,PA,19140,215-302-3150,,,,2/23/2021,2/23/2021
