rec_id,date_firstfind,date_lastfind,name1,name2,street1,street2,city,state_usa,zip5,zip4,county,phone,intake_prompt,phone_intake1,phone_intake2,website,latitude,longitude,type_facility,sa,dt,bu,bum,ub,bwn,bwon,bmw,beri,bsdm,db_field,bmo,mo,mu,meth,mm,mmw,dm,nu,un,vtrl,nxn,rpn,otp,omb,otpa,pain,ulc,moa,odtx,ubn,hh,noop,nmoa,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi_field,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,add_field,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40,mat_bupe,mat_ntrex,mat_mtd,mat_misc,mat_avail
1,2020-09-08,2021-01-16,Philadelphia VA Medical Center (PVAMC),Opioid Treatment Program,3900 Woodland Avenue,,Philadelphia,PA,19104,,Philadelphia,215-823-5809,,215-823-4014,,,39.9479816,-75.2001349,SA,True,True,True,True,True,True,,True,,,True,,,True,True,True,True,True,True,True,True,True,True,True,True,,,,,True,,,,,True,,True,True,,True,,,True,True,True,True,True,,True,,,True,True,True,,True,,True,,,,,,,,,,True,,,,,True,,,,,,,,True,,,True,,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,True,True,True,,,True,,,True,True,True,True,,,True,True,,,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,,True,,,,,,,,True,,,,True,True,,True,True,,,True,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2,2020-09-08,2021-01-16,Northeast Treatment Centers,NET STEPS,2205 Bridge Street,,Philadelphia,PA,19137,,Philadelphia,215-831-6039,,215-743-6150 x6024,,www.netcenters.org,40.010615,-75.069159,SA,True,,True,True,True,True,,True,,,,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,,,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,True,,,,,True,True,,True,True,,,,,,,True,,,,,,,,,True,True,,,True,,,,True,,,,,,,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,True,,,True,True,True,True,True,True,,,,True,,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,,,,,,,,True,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,2020-09-08,2021-01-16,Merakey Parkside Recovery,,5000 Parkside Avenue,,Philadelphia,PA,19131,,Philadelphia,215-879-6116 x229,Intakes,215-879-6116 x398,866-647-0007,www.merakey.org,39.9796591,-75.2197374,SA,True,,True,True,True,True,True,,True,True,,,,True,True,True,,,True,True,True,True,True,True,True,,,,,,,,,,True,True,True,True,,True,,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,True,,,True,True,True,True,True,,,True,,,True,True,True,,,,,True,True,,,True,True,True,True,True,True,True,,,,,,,,True,True,True,True,True,True,,True,True,True,,True,,,True,True,True,True,,,True,,,,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,True,,True,,,,,,True,,,True,True,True,True,,,,True,,True,True,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
4,2020-09-08,2021-01-16,Northeast Treatment Centers,,7520 State Road,,Philadelphia,PA,19136,,Philadelphia,267-348-3550,,267-348-3580,,,40.0297839,-75.0269339,SA,True,,True,True,True,True,,True,,,,True,True,True,True,True,True,,True,True,True,,,True,True,True,,,,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,,,,True,,,,,True,True,True,,,,,True,,,True,,True,True,,,,True,True,,True,True,True,True,True,True,True,True,,,,,,,,True,True,True,,True,True,,True,,,,True,,,True,True,True,True,,,True,,,,True,True,True,True,True,True,,,True,,True,True,True,,,True,,True,True,True,True,,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,,,,,,,,True,,,,,,,,,True,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
5,2020-09-08,2021-01-16,Kirkbride Center,,111 North 49th Street,,Philadelphia,PA,19139,,Philadelphia,215-471-2600,Intakes,215-471-2488,215-471-2078,www.kirkbridecenter.com,39.9617037,-75.2184789,SA,True,True,True,True,True,True,True,,,,True,,,True,True,True,,True,True,True,True,True,True,True,,,,,,True,,,,,True,True,True,True,,True,,,,True,,True,True,True,,,,,,,,,,,,,,,,True,,,,True,,,,,,True,True,,,True,,,,,,True,True,True,,,,,,,,,True,True,,True,,,True,True,True,True,,True,,,True,True,True,,True,,True,True,True,,,True,,,True,True,True,True,,,True,True,,,True,,True,True,True,True,,True,True,,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,,,,,,,True,,,,True,True,,True,,,,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
6,2020-09-08,2021-01-16,Merakey,Parkside Recovery-Germantown,5429 Germantown Avenue,,Philadelphia,PA,19144,,Philadelphia,215-754-0240 x207,Intakes,215-754-0240 x165,866-647-0007,www.merakey.org,40.0339722,-75.1713648,SA,True,,True,True,True,True,,True,,,,,,True,True,True,True,,True,True,True,,True,True,True,,,,,,,,,,True,True,True,True,,True,,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,,,True,,,True,True,,,,,,,,,,True,True,,True,,,True,True,,,True,True,True,True,True,True,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,True,,,,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,True,,True,,,,,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
7,2020-09-08,2021-01-16,John F Kennedy Behavioral Health,,907 North Broad Street,,Philadelphia,PA,19123,,Philadelphia,215-235-5520,,,,,39.9704202,-75.1591668,SA,True,,True,True,,True,,,,,,True,True,True,True,True,,,True,True,,True,,True,True,True,,,,,,,,,True,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,True,True,,True,,,,,,,,,True,,True,True,True,True,,True,True,True,True,,,True,,,True,True,True,True,,,True,,,,,,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,,,True,,True,,,,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,True,,True,,,True,,,,,,,,True,,,,,,0,0,0,0,0
8,2020-09-08,2021-01-16,Consortium Inc,Methadone Maintenance Program,451 South University Avenue,,Philadelphia,PA,19104,,Philadelphia,215-596-5874 x1203,Intakes,215-596-8000,267-233-5875,,39.9481656,-75.1982371,SA,True,,True,True,True,True,,,,,,,,True,True,True,,,True,True,True,,,True,True,,True,,,,,,,,True,,True,True,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,True,,True,,,True,,,,,True,True,True,True,True,,,True,,,,,,,,,,True,,,,,,,True,,,,,,,,,True,,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,,,,True,True,True,True,True,True,,True,,True,True,True,True,,,True,True,True,True,,True,True,True,True,True,,True,True,True,True,,True,,True,True,True,,True,,True,,,,,,,True,,,,,,,,,True,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
9,2020-09-08,2021-01-16,Behavioral Wellness Center,Torre de la Raza,801 West Girard Avenue,,Philadelphia,PA,19122,,Philadelphia,215-787-2407,,,,www.bewellctr.org,39.9708289,-75.1497912,SA,True,,True,True,True,True,,,,,,,,True,True,True,,,True,True,True,,,True,,,,,True,,,,,,True,,True,True,,,True,,,True,,,True,,,,,,,,,,,,,,,,,True,,True,True,,,,,,,True,True,,,,,,,,,True,True,,True,True,,,,True,,,True,True,True,True,True,True,True,True,,,,,,,True,True,True,True,True,True,,True,True,,,True,,,True,True,True,True,,,True,,,,,,True,True,True,True,,True,True,,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,,True,True,,,,,,True,,,,True,True,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
10,2020-09-08,2021-01-16,Northeast Treatment Centers,Wharton Center Residential Rehab,2205 Bridge Street,,Philadelphia,PA,19137,,Philadelphia,215-451-7000,Intakes,215-288-5490,215-289-3350,www.netcenters.org,40.0105756,-75.0691226,SA,True,,True,True,,True,True,,,,,,,True,True,True,,,True,,,True,,True,,,,,True,,,True,,,True,,True,True,,True,,,,True,,True,True,,,,,,,,,,,,,,,,,True,,True,,,True,,,,,,True,,,,,,True,,,True,,True,,,,,True,,,,,True,,,,,True,True,,,,,,,True,True,True,True,True,True,True,True,True,,,True,,,True,True,,True,,,True,,,,True,,True,True,True,True,,,True,True,True,True,,,,True,True,True,True,,,True,True,True,True,,True,True,True,True,,True,True,True,True,True,,True,,,True,,,,,True,,True,,True,,,,,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
