,DB:,site_id,url_site,phone1,phone2,street_address,address_suppl,zip5,name_system,name_site,hfp_fqhc_id,samhsa_ftloc_id,samhsa_otp_id,dbhids_tad_id,archival_only,why_hidden,data_review_notes,latitude,longitude,mat_avail,mat_bupe,mat_mtd,mat_ntrex,fqhc,primary_care,pay_medicaid,pay_private_insur,pay_medicare,pay_military_insur,pay_assistance_avail,pay_self_cash,pay_otherstate_insur,pay_fed_funding,pay_none_accepted,address_full,location
0,1,S00001,https://www.phila.gov/departments/department-of-public-health/,215-685-4758,,1101 Market St,8th Floor,19107,City of Philadelphia Public Health,"Ambulatory Health Services, Main Admin Office",1.0,,,,True,Not a practice site,,39.95216399894662,-75.15866700334412,,,,,,,,,,,,,,,,"1101 Market St Philadelphia, PA19107","1101 Market St, Philadelphia, Pennsylvania, 19107"
1,2,S00002,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-1803,,1700 South Broad St,Suite 201,19145,City of Philadelphia Public Health,District Health Center #2,2.0,,,,,,,39.929035017233815,-75.16936197651987,,,,,,,,,,,,,,,,"1700 South Broad St Philadelphia, PA19145","1700 S Broad St, Philadelphia, Pennsylvania, 19145"
2,3,S00003,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7504,,555 South 43rd St,,19104,City of Philadelphia Public Health,District Health Center #3,3.0,,,,,,,39.94888192803673,-75.20905320167002,,,,,,,,,,,,,,,,"555 South 43rd St Philadelphia, PA19104","555 S 43rd St, Philadelphia, Pennsylvania, 19104"
3,4,S00004,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-7601,,4400 Haverford Ave,,19104,City of Philadelphia Public Health,District Health Center #4,4.0,,,,,,,39.96252819211948,-75.21063115503848,,,,,,,,,,,,,,,,"4400 Haverford Ave Philadelphia, PA19104","4400 Haverford Ave, Philadelphia, Pennsylvania, 19104"
4,5,S00005,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2933,,1900 North 20th St,,19121,City of Philadelphia Public Health,District Health Center #5,5.0,,,,,,,39.98317100572547,-75.16693499645541,,,,,,,,,,,,,,,,"1900 North 20th St Philadelphia, PA19121","1900 N 20th St, Philadelphia, Pennsylvania, 19121"
5,6,S00006,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-3803,,301 West Girard Ave,,19123,City of Philadelphia Public Health,District Health Center #6,6.0,,,,,,"PDPH and HFP websites both list 301 for street_address, but 321 is used in most providers' data (Google Maps recognizes both)",39.97020998502626,-75.14187997912144,,,,,,,,,,,,,,,,"301 West Girard Ave Philadelphia, PA19123","301 W Girard Ave, Philadelphia, Pennsylvania, 19123"
6,7,S00007,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-5701,,131 East Chelten Ave,,19144,City of Philadelphia Public Health,District Health Center #9,7.0,,,,,,,40.037949598699555,-75.172674578659,,,,,,,,,,,,,,,,"131 East Chelten Ave Philadelphia, PA19144","131 E Chelten Ave, Philadelphia, Pennsylvania, 19144"
7,8,S00008,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-0639,,2230 Cottman Ave,,19149,City of Philadelphia Public Health,District Health Center #10,8.0,,,,,,,40.04832960284416,-75.06110716311154,,,,,,,,,,,,,,,,"2230 Cottman Ave Philadelphia, PA19149","2230 Cottman Ave, Philadelphia, Pennsylvania, 19149"
8,9,S00009,https://www.phila.gov/services/mental-physical-health/city-health-centers/,215-685-2401,,2840 West Dauphin St,,19132,City of Philadelphia Public Health,Strawberry Mansion Health Center,9.0,,,,,,,39.990843828753086,-75.17931232063066,,,,,,,,,,,,,,,,"2840 West Dauphin St Philadelphia, PA19132","2840 W Dauphin St, Philadelphia, Pennsylvania, 19132"
9,10,S00010,https://dvch.org/,215-235-9600,,1412 Fairmount Ave,2nd Floor,19130,"Delaware Valley Community Health, Inc. (DVCH)",Main Admin Office,10.0,,,,True,Not a practice site,,39.96682000810597,-75.16141299864343,,,,,,,,,,,,,,,,"1412 Fairmount Ave Philadelphia, PA19130","1412 Fairmount Ave, Philadelphia, Pennsylvania, 19130"
