rec_id,site_id,name_program,name_dba,address,city,state_usa,zipcode,phone,certification_status,date_full_certification,date_firstfind,date_lastfind,data_review,,
1,S00137,"Addiction Medicine and Health Advocates, Inc.","AMHA, Inc.",928 Market Street,Philadelphia,PA,19107-4220,215-923-4202,Certified,6/7/2006,12/24/2019,1/16/2021,,,
2,S00145,Achievement Through Counseling and Treatment (ACT II),,1745 North Fourth St.,Philadelphia,PA,19122,215-236-0100,Certified,9/12/2005,12/24/2019,1/16/2021,,,
3,S00093,Family Center,Family Center,1233 Locust Street,Philadelphia,PA,19107,215-955-8577,Certified,8/31/2006,12/24/2019,1/16/2021,ZIP typo: corrected 19007 to 19107 (missed in 2020 due to error),,
4,S00091,Narcotic Addict Rehabilitation Program of Thomas Jefferson University,,"NE Corner, 21st St. & Washington Ave.",Philadelphia,PA,19146,215-790-9942,Certified,10/12/2006,12/24/2019,1/16/2021,,,
5,S00151,VAMC Opioid Treatment Program,,"38th and Woodland Ave., Bldg. 3",Philadelphia,PA,19104,215-823-5809,Certified,2/2/2006,12/24/2019,1/16/2021,,,
6,S00107,North Philadelphia Health System-Goldman,,Girard Medical Center 801 W. Girard Avenue,Philadelphia,PA,19122,215-787-2080,Certified,6/15/2006,12/24/2019,1/16/2021,,,54
7,S00118,"The Consortium, Inc.",Drug Abuse Rehabilitation Program (D.A.R.P.),451 University Ave.,Philadelphia,PA,19104,215-596-8000,Certified,2/1/2004,12/24/2019,1/16/2021,,,
8,S00097,Merakey Parkside Recovery,,5000 Parkside Ave.,Philadelphia,PA,19131,215-879-6116,Certified,1/1/2004,12/24/2019,1/16/2021,,,
9,S00122,Kirkbride Center - A Better Way,,111 North 49th St.,Philadelphia,PA,19139,215-471-2600,Certified,10/24/2005,12/24/2019,1/16/2021,,,
10,S00157,Mercy Philadelphia Hospital,,501 South 54th St.,Philadelphia,PA,19143,215-748-9391,Certified,7/16/2003,12/24/2019,1/16/2021,,,
11,S00100,"Northeast Treatment Centers, Inc.",NET Steps,2205 Bridge St.,Philadelphia,PA,19137,215-743-6150,Certified,5/6/2004,12/24/2019,1/16/2021,,,
12,S00146,Achievement Through Counseling and Treatment (ACT 1),,5820 Old York Rd.,Philadelphia,PA,19141,215-276-8400,Certified,9/12/2005,12/24/2019,1/16/2021,,,
13,S00131,Kensington Hospital Outpatient Treatment Program,Kensington Hospital Outpatient Treatment Program,2100 North Front Street,Philadelphia,PA,19122,215-426-8100,Certified,8/1/2006,12/24/2019,1/16/2021,,,
14,S00096,Merakey Parkside Recovery,Merakey Parkside Recovery- Germantown,5429 Germantown Ave.,Philadelphia,PA,19144,215-754-0246,Certified,4/14/2008,12/24/2019,1/16/2021,,,
15,S00101,"Northeast Treatment Centers, Inc",NET Steps II,7520 State Road,Philadelphia,PA,19136,267-348-3550,Certified,11/18/2016,12/24/2019,1/16/2021,,,
16,S00070,John F. Kennedy Drug Treatment Clinic,,907 North Broad St.,Philadelphia,PA,19123,215-235-5520,Certified,2/1/2004,12/24/2019,1/16/2021,,,
17,S00120,The Healing Way,THW Group - The Healing Way,7900 Frankford Avenue,Philadelphia,PA,19136,215-335-3520,Certified,2/16/2016,12/24/2019,1/16/2021,,,
18,S00125,SOAR,,9150 Marshall Street,Philadelphia,PA,19115,215-464-4450,Certified,11/7/2008,12/24/2019,1/16/2021,,,
19,S00102,"Northeast Treatment Centers, Inc",North East Treatment Centers,499 North 5th Street,Philadelphia,PA,19123,215-451-7000,Certified,12/20/2017,12/24/2019,1/16/2021,,,
