id,site_id,zip5,street_address,address_suppl,phone,name_listed,address,mat_info,iop,op,mh_tx,wih_induction,walk_in_hours,coe,other_notes
1,S00137,19107,928 Market St,,215-923-4202,ADDICTION MEDICINE AND HEALTH ADVOCATES (AMHA),"928 MARKET ST, 19107",MMT induction,1,1,,,,0,Spanish; Child care on site
2,S00064,19140,4301 Rising Sun Ave,,267-296-7200,ASOCIACION PUERTORRIQUENOS EN MARCHA (APM),"4301 RISING SUN AVE, PHILA, 19140",Buprenorphine induction,1,1,1,,,0,Spanish
3,S00067,19133,213 West Allegheny Ave,,215-634-3259,CASA DE CONSEJERIA Y SALUD INTEGRAL,"213 W ALLEGHENY AVE, 19140",Buprenorphine induction,1,,,,,0,
4,S00045,19123,1200 Callowhill St,Suite 102,215-825-8220,CHANCES- PHILA HEALTH MGMT CORP (PHMC),"1200 CALLOWHILL ST, SUITE 102, 19123",Buprenorphine induction,1,1,,,,0,
5,S00072,19134,2055 East Allegheny Ave,,215-427-5800,COMHAR,"2055 E. ALLEGHENY AVE, 19134",Buprenorphine induction,,1,1,,,0,Spanish; Both locations registration: (267) 861-4382
6,S00073,19133,2600 North American St,,215-739-2669,COMHAR,"2600 N AMERICAN ST, 19133",Buprenorphine induction,,1,1,,,0,Spanish; Both locations registration: (267) 861-4382
7,S00118,19104,451 South University Ave,,215-596-8000,THE CONSORTIUM,"451 S. UNIVERSITY AVE, 19104",MMT induction | Vivitrol,1,1,1,,,0,Spanish; Child care on site
8,S00074,19144,4700 Wissahickon Ave,,215-967-2130,DREXEL MEDICINE CARING TOGETHER CLINIC,"4700 WISSAHICKON AVE, 19144",Buprenorphine/Vivitrol maintenance,,1,,,,0,"Females only, Child care on site"
9,S00089,19123,1306 Spring Garden St,,215-238-2150,GAUDENZIA OUTREACH I,"1306 SPRING GARDEN ST, 19123",Vivitrol,1,1,1,,,0,Spanish
10,S00085,19129,3200 Henry Ave,,215-991-9700,GAUDENZIA-DRC,"3200 HENRY AVE, 19129",Vivitrol,1,1,,,,0,
11,S00143,19120,4943 North 5th St,,215-456-1662,GREATER PHILA ASIAN SOCIAL SERVICES CENTER,"4943 N. 5TH ST, 19120",Vivitrol,1,1,,,,0,"Spanish, Korean, Vietnamese, Chinese, Cambodian"
12,S00129,19119,333 West Upsal St,,215-849-4606,"INTERIM HOUSE, INC. - PHMC","333 W. UPSAL ST, 19139",Buprenorphine induction | Vivitrol,1,1,1,,,0,Spanish
13,S00146,19141,5820 Old York Rd,,215-276-8400,JEVS HUMAN SERVICES - ACT I,"5820 OLD YORK ROAD, 19141",MMT induction,1,1,,,,0,
14,S00145,19122,1745 North 4th St,,215-236-0100,JEVS HUMAN SERVICES - ACT II,"1745 N. 4TH ST, 19122",MMT induction,1,1,,,,0,Spanish
